comparison,perturbation,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
shallow_convnet_vs_riemann_tslr,band_limited_5db,3.362065759223579,0.00990139547568,1.1206885857591142,3.0,0.01953125,19.35956790123457,9,0.3366474461731231,0.546875
shallow_convnet_vs_riemann_tslr,channel_dropout_30pct,4.220139201517064,0.0029152696114501,1.4067130656743527,0.0,0.00390625,13.209876543209877,9,0.1166107844580051,0.1640625
shallow_convnet_vs_eegnet,band_limited_5db,2.625741331976729,0.0303783971517676,0.8752471100810223,9.0,0.12890625,13.256172839506174,9,0.7208168267025172,1.0
shallow_convnet_vs_eegnet,channel_dropout_30pct,3.2634645209074944,0.0114677143612313,1.0878215044795077,0.0,0.00390625,4.753086419753086,9,0.3669668595594018,0.1640625
shallow_convnet_vs_tiny_transformer,band_limited_5db,3.1187500788137816,0.0142555978039487,1.0395833584658696,0.0,0.0078125,9.49074074074074,9,0.413412336314513,0.28125
shallow_convnet_vs_tiny_transformer,channel_dropout_30pct,4.154029414177484,0.0031912635665131,1.384676468869796,1.0,0.0078125,7.600308641975309,9,0.1212680155275012,0.28125
shallow_convnet_vs_hybrid_cfc,band_limited_5db,3.472817314270462,0.0084078634818235,1.1576057703229128,0.0,0.00390625,12.175925925925926,9,0.3026830853456493,0.1640625
shallow_convnet_vs_hybrid_cfc,channel_dropout_30pct,4.750937429140487,0.0014435088797221,1.5836458057008014,0.0,0.00390625,6.25,9,0.0606273729483301,0.1640625
shallow_convnet_vs_cfc,band_limited_5db,3.1440061623064675,0.0137220091763167,1.048002052551603,3.0,0.0390625,7.083333333333333,9,0.4116602752895011,0.8984375
shallow_convnet_vs_cfc,channel_dropout_30pct,4.185320233958281,0.0030572720614457,1.39510674174673,0.0,0.0078125,6.69753086419753,9,0.1192336103963838,0.28125
shallow_convnet_vs_lstm,band_limited_5db,2.061942078461798,0.0731390225634723,0.6873140254899076,6.0,0.0546875,7.114197530864197,9,1.0,1.0
