model,model_display,params,accuracy_mean,accuracy_std,f1_mean,f1_std
shallow_convnet,Shallow ConvNet,40604,68.92520406463433,17.371841013392633,0.6868825558255073,0.1755573248097192
riemann_tslr,Riemann-TSLR,1016,68.26903215059137,14.78783912608379,0.6811924648075092,0.1489598972032799
eegnet,EEGNet,2420,55.072963518240876,19.328950227728733,0.5311503775223302,0.1986671688953293
hybrid_cfc,Hybrid-CfC-style,86964,53.60752956854906,20.068016294048654,0.5253791341644256,0.2071796683091754
tiny_transformer,Tiny-Transformer,101124,52.41529235382309,14.580722136355865,0.513355236779697,0.15170318584913706
cfc,CfC-style,86788,50.9263701482592,15.322758865133466,0.49413361548256607,0.1652022194153458
lstm,LSTM,210948,43.34332833583208,13.576453490992577,0.40774652101219566,0.15277389567503752
