model,model_display,params,accuracy_mean,accuracy_std,f1_mean,f1_std
eegnet,EEGNet,2420,45.08101851851852,15.662330021222031,0.41278025566960275,0.18611011684357423
shallow_convnet,Shallow ConvNet,40604,41.37731481481481,13.817906722794364,0.38112832904956345,0.16784280937096854
cfc,CfC-style,86788,39.795524691358025,14.811169211097992,0.3321554497801744,0.1800485032392486
lstm,LSTM,210948,39.158950617283956,12.339253578439342,0.33496195288660385,0.1519557393803886
mi_mamba,MI-Mamba-style,298740,38.61882716049383,10.928233753635965,0.34823644974169665,0.11880811922465019
tiny_transformer,Tiny-Transformer,101124,38.020833333333336,8.993910164241038,0.33805513286681127,0.10997820282121144
riemann_tslr,Riemann-TSLR,1016,34.16280864197531,6.357449356123268,0.277755456336766,0.0754417625364656
