model,model_display,clean_accuracy_mean,clean_accuracy_std,shuffle_accuracy_mean,shuffle_accuracy_std,accuracy_drop_mean,accuracy_drop_std,accuracy_drop_ci95_low,accuracy_drop_ci95_high,clean_f1_mean,shuffle_f1_mean,f1_drop_mean
shallow_convnet,Shallow ConvNet,61.72839506172839,14.786304308244908,33.79629629629629,6.817149279981739,27.932098765432094,9.625309249392116,20.53343112152639,35.330766409337805,0.6088153287603617,0.2582385411348442,0.3505767876255176
riemann_tslr,Riemann-TSLR,62.80864197530863,12.733454182185127,62.80864197530863,12.733454182185127,7.894919286223335e-16,2.3684757858670005e-15,-1.0310797234910797e-15,2.6100635807357467e-15,0.6168293487205774,0.6168293487205774,0.0
eegnet,EEGNet,46.25771604938272,14.865590432011714,33.14043209876543,6.387641199290854,13.117283950617283,11.532767726726076,4.252413927890794,21.982153973343777,0.4310925543882444,0.2653953708738186,0.1656971835144258
cfc,CfC-style,43.711419753086425,13.6342150458316,30.94135802469136,10.630791762433674,12.770061728395063,10.213672807842023,4.919137818226381,20.620985638563745,0.398471256150221,0.199913838224131,0.1985574179260899
lstm,LSTM,37.69290123456791,7.525818614355953,27.01388888888889,1.849426942442469,10.679012345679013,7.997408809610673,4.531659750385534,16.826364940972493,0.3312555229033465,0.1607539840980585,0.170501538805288
