model,model_display,accuracy_mean,accuracy_std,f1_mean,f1_std,params
shallow_convnet,Shallow ConvNet,80.0595238095238,14.643401557823697,0.7985502721786472,0.14769861320198158,8362
riemann_tslr,Riemann-TSLR,73.2390873015873,14.421579631221594,0.7216615442237362,0.15273003554680906,14
lstm,LSTM,72.91170634920634,14.352344922558025,0.7125855527940799,0.16127859259728877,200706
cfc,CfC-style,72.57440476190476,15.152830720971522,0.7116933226845147,0.16928041877923647,83842
