protocol,model,model_display,params,accuracy_mean,accuracy_std,f1_mean,f1_std
pooled,cfc,CfC-style,86788,50.9263701482592,15.322758865133466,0.49413361548256607,0.1652022194153458
pooled,gru,GRU,158468,47.20573046809929,14.035856312450646,0.45609438348045117,0.15134089548230267
pooled,lstm,LSTM,210948,43.34332833583208,13.576453490992577,0.40774652101219566,0.15277389567503752
sessionwise,cfc,CfC-style,86788,44.21296296296296,11.907241805196003,0.41382645128210466,0.1256160386102979
sessionwise,gru,GRU,158468,40.35493827160494,12.079114268038984,0.37693698966908573,0.1402112664198476
sessionwise,lstm,LSTM,210948,38.58024691358024,10.273091033923988,0.3564087004548994,0.11806720697989483
