comparison,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
clean_vs_shuffle_cfc,3.750872571105936,0.0056172105622173,1.2502908558111774,0.0,0.00390625,12.770061728395063,9,0.0168516316866519,0.01953125
clean_vs_shuffle_eegnet,3.412177612894929,0.0091935205789963,1.137392536645416,1.0,0.0078125,13.117283950617283,9,0.0183870411579927,0.01953125
clean_vs_shuffle_lstm,4.005927144619315,0.0039172435497987,1.3353090465367612,0.0,0.00390625,10.679012345679013,9,0.015668974199195,0.01953125
clean_vs_shuffle_riemann_tslr,1.0,0.3465935070873341,7.894917416331262e-08,0.0,1.0,7.894919286223335e-16,9,0.3465935070873341,1.0
clean_vs_shuffle_shallow_convnet,8.70582898950373,2.3643846845795213e-05,2.9019429934863346,0.0,0.00390625,27.932098765432094,9,0.0001182192342289,0.01953125
