model,model_display,accuracy_mean,accuracy_seed_std,accuracy_min,accuracy_max,f1_mean,f1_seed_std,f1_min,f1_max
riemann_tslr,Riemann-TSLR,61.80555555555556,0.9820927516479805,61.111111111111114,62.5,0.605887791023175,0.01139607587601132,0.597829548492331,0.6139460335540191
shallow_convnet,Shallow ConvNet,59.83796296296296,0.9275320432230943,59.1820987654321,60.49382716049383,0.5878585665546956,0.006720049430676417,0.5831067740323556,0.5926103590770357
eegnet,EEGNet,47.029320987654316,1.7459426695964113,45.79475308641975,48.263888888888886,0.4386949718393714,0.021144058290909568,0.4237438648400656,0.4536460788386772
cfc,CfC-style,43.3641975308642,0.10912141684977728,43.28703703703704,43.44135802469136,0.3959895462499563,0.004288240459161306,0.39295730234192483,0.3990217901579878
lstm,LSTM,36.902006172839506,1.391298064834644,35.91820987654321,37.885802469135804,0.3282153094811999,0.010320538979880094,0.32091758638302664,0.33551303257937326
