seed,model,model_display,accuracy_mean,accuracy_std,f1_mean,f1_std
42,riemann_tslr,Riemann-TSLR,62.5,13.763540260749023,0.6139460335540191,0.1482316911449904
42,shallow_convnet,Shallow ConvNet,59.1820987654321,16.64776770566008,0.5831067740323556,0.16759269516171227
42,eegnet,EEGNet,48.263888888888886,15.74510169029258,0.4536460788386772,0.15956484245654934
42,cfc,CfC-style,43.44135802469136,13.262166805344098,0.39295730234192483,0.1440820484048295
42,lstm,LSTM,37.885802469135804,10.15653852338935,0.33551303257937326,0.11687929861659883
43,riemann_tslr,Riemann-TSLR,61.111111111111114,12.70211786377802,0.597829548492331,0.13472354466938272
43,shallow_convnet,Shallow ConvNet,60.49382716049383,16.897256286712985,0.5926103590770357,0.1791513515124677
43,eegnet,EEGNet,45.79475308641975,14.41855114024575,0.4237438648400656,0.14191915966731675
43,cfc,CfC-style,43.28703703703704,12.194867589469405,0.3990217901579878,0.13464158019049924
43,lstm,LSTM,35.91820987654321,9.882287133035893,0.32091758638302664,0.10250949312715466
