comparison,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
mi_mamba_vs_ss_head,3.2100786662227017,0.012422832198175514,1.0700262209149658,0.0,0.00390625,9.876543209876543,9,0.02484566439635103,0.01171875
mi_mamba_vs_ss_cfc,4.2673254515615,0.002734077439346768,1.4224418159660959,0.0,0.00390625,16.57021604938272,9,0.008202232318040303,0.01171875
ss_head_vs_ss_cfc,2.984235542456967,0.017487032607192535,0.9947451793407005,2.5,0.015625,6.693672839506174,9,0.02484566439635103,0.015625
