subject,model,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c
1,mi_mamba,67.70833333333334,0.6428226713160538,49,70.45454545454545,0.8034749627113342,
1,ss_cfc,47.56944444444444,0.47052358107367465,27,54.54545454545454,0.9352391958236694,
1,ss_head,58.68055555555556,0.5707112332112332,46,61.36363636363637,0.9565074443817139,
2,mi_mamba,44.79166666666667,0.41368315207324496,42,54.54545454545454,1.0826119184494019,
2,ss_cfc,23.958333333333336,0.20530607834830944,18,34.090909090909086,1.3666716814041138,
2,ss_head,25.694444444444443,0.21200653657636617,38,36.36363636363637,1.3869448900222778,
3,mi_mamba,69.79166666666666,0.6901271920129679,38,70.45454545454545,0.6909927725791931,
3,ss_cfc,49.65277777777778,0.4854102291031882,28,61.36363636363637,1.0547385215759277,
3,ss_head,61.458333333333336,0.5639069731386,74,72.72727272727273,0.9938026666641235,
4,mi_mamba,26.73611111111111,0.18649097495270334,5,38.63636363636363,1.3744393587112427,
4,ss_cfc,35.76388888888889,0.2758518523688545,15,43.18181818181818,1.2908368110656738,
4,ss_head,40.97222222222222,0.3799385478037615,33,36.36363636363637,1.3448476791381836,
5,mi_mamba,26.73611111111111,0.22598261826282237,34,36.36363636363637,1.382193922996521,
5,ss_cfc,22.569444444444446,0.1425913810968405,19,34.090909090909086,1.3993316888809204,
5,ss_head,22.916666666666664,0.10587639311043566,3,36.36363636363637,1.4271836280822754,
6,mi_mamba,29.86111111111111,0.264538429681095,7,38.63636363636363,1.3753513097763062,
6,ss_cfc,30.90277777777778,0.2916739352980842,26,38.63636363636363,1.397166132926941,
6,ss_head,39.23611111111111,0.38225113073903394,38,43.18181818181818,1.3424659967422485,
7,mi_mamba,44.09722222222222,0.40551975561688514,53,59.09090909090909,1.0691760778427124,
7,ss_cfc,34.72222222222222,0.3013198402604404,49,45.45454545454545,1.2767890691757202,
7,ss_head,37.15277777777778,0.3277681060401509,34,43.18181818181818,1.3399772644042969,
8,mi_mamba,59.72222222222222,0.5864795294780714,54,79.54545454545455,0.6182780861854553,
8,ss_cfc,40.625,0.38686461021790364,7,63.63636363636363,1.207681655883789,
8,ss_head,60.416666666666664,0.616229396105378,61,79.54545454545455,0.9850547313690186,
9,mi_mamba,65.97222222222221,0.6100579213126964,26,61.36363636363637,1.013421893119812,
9,ss_cfc,59.02777777777778,0.5700172811059908,31,59.09090909090909,1.0413525104522705,
9,ss_head,54.513888888888886,0.5186432542748449,24,56.81818181818182,1.234517216682434,
