model,model_display,true_label,pred_label,count,row_normalized
tiny_transformer,Tiny-Transformer,tongue,right_hand,137,0.10570987654320987
tiny_transformer,Tiny-Transformer,tongue,feet,320,0.24691358024691357
tiny_transformer,Tiny-Transformer,tongue,tongue,718,0.5540123456790124
cfc,CfC-style,left_hand,left_hand,698,0.5385802469135802
cfc,CfC-style,left_hand,right_hand,226,0.1743827160493827
cfc,CfC-style,left_hand,feet,233,0.17978395061728394
cfc,CfC-style,left_hand,tongue,139,0.10725308641975309
cfc,CfC-style,right_hand,left_hand,279,0.2152777777777778
cfc,CfC-style,right_hand,right_hand,596,0.45987654320987653
cfc,CfC-style,right_hand,feet,257,0.19830246913580246
cfc,CfC-style,right_hand,tongue,164,0.12654320987654322
cfc,CfC-style,feet,left_hand,197,0.15200617283950618
cfc,CfC-style,feet,right_hand,195,0.15046296296296297
cfc,CfC-style,feet,feet,582,0.44907407407407407
cfc,CfC-style,feet,tongue,322,0.24845679012345678
cfc,CfC-style,tongue,left_hand,145,0.11188271604938271
cfc,CfC-style,tongue,right_hand,131,0.10108024691358025
cfc,CfC-style,tongue,feet,335,0.25848765432098764
cfc,CfC-style,tongue,tongue,685,0.5285493827160493
lstm,LSTM,left_hand,left_hand,641,0.49459876543209874
lstm,LSTM,left_hand,right_hand,244,0.1882716049382716
lstm,LSTM,left_hand,feet,194,0.14969135802469136
lstm,LSTM,left_hand,tongue,217,0.16743827160493827
lstm,LSTM,right_hand,left_hand,350,0.2700617283950617
lstm,LSTM,right_hand,right_hand,474,0.36574074074074076
lstm,LSTM,right_hand,feet,206,0.15895061728395063
lstm,LSTM,right_hand,tongue,266,0.2052469135802469
lstm,LSTM,feet,left_hand,289,0.22299382716049382
lstm,LSTM,feet,right_hand,192,0.14814814814814814
lstm,LSTM,feet,feet,383,0.29552469135802467
lstm,LSTM,feet,tongue,432,0.3333333333333333
lstm,LSTM,tongue,left_hand,146,0.11265432098765432
lstm,LSTM,tongue,right_hand,134,0.10339506172839506
lstm,LSTM,tongue,feet,316,0.24382716049382716
lstm,LSTM,tongue,tongue,700,0.5401234567901234
hybrid_cfc,Hybrid-CfC-style,left_hand,left_hand,734,0.566358024691358
hybrid_cfc,Hybrid-CfC-style,left_hand,right_hand,278,0.21450617283950618
hybrid_cfc,Hybrid-CfC-style,left_hand,feet,170,0.13117283950617284
hybrid_cfc,Hybrid-CfC-style,left_hand,tongue,114,0.08796296296296297
hybrid_cfc,Hybrid-CfC-style,right_hand,left_hand,288,0.2222222222222222
hybrid_cfc,Hybrid-CfC-style,right_hand,right_hand,707,0.5455246913580247
hybrid_cfc,Hybrid-CfC-style,right_hand,feet,169,0.13040123456790123
hybrid_cfc,Hybrid-CfC-style,right_hand,tongue,132,0.10185185185185185
hybrid_cfc,Hybrid-CfC-style,feet,left_hand,212,0.16358024691358025
hybrid_cfc,Hybrid-CfC-style,feet,right_hand,204,0.1574074074074074
hybrid_cfc,Hybrid-CfC-style,feet,feet,629,0.4853395061728395
hybrid_cfc,Hybrid-CfC-style,feet,tongue,251,0.19367283950617284
hybrid_cfc,Hybrid-CfC-style,tongue,left_hand,133,0.10262345679012345
hybrid_cfc,Hybrid-CfC-style,tongue,right_hand,177,0.13657407407407407
hybrid_cfc,Hybrid-CfC-style,tongue,feet,312,0.24074074074074073
hybrid_cfc,Hybrid-CfC-style,tongue,tongue,674,0.5200617283950617
