subject,cfc,eegnet,hybrid_cfc,lstm,riemann_tslr,shallow_convnet,tiny_transformer
1,57.638888888888886,67.36111111111111,68.75,54.6875,77.08333333333333,73.26388888888889,63.71527777777778
2,26.38888888888889,32.8125,38.888888888888886,24.305555555555554,57.11805555555556,46.00694444444444,39.0625
3,67.53472222222223,73.09027777777777,71.18055555555556,56.94444444444445,84.54861111111111,86.97916666666667,64.75694444444444
4,38.71527777777778,43.40277777777778,37.673611111111114,35.76388888888889,64.23611111111111,59.72222222222222,46.18055555555556
5,30.555555555555554,25.34722222222222,26.5625,26.38888888888889,45.486111111111114,41.666666666666664,32.291666666666664
6,37.84722222222222,41.31944444444444,30.90277777777778,32.11805555555556,54.86111111111111,47.916666666666664,37.673611111111114
7,44.96527777777778,50.520833333333336,54.34027777777778,37.326388888888886,73.95833333333333,77.60416666666667,51.90972222222222
8,66.66666666666667,69.79166666666667,74.13194444444444,56.076388888888886,83.85416666666666,81.42361111111111,65.79861111111111
9,62.84722222222223,71.52777777777777,66.31944444444444,46.701388888888886,69.27083333333333,80.90277777777779,64.40972222222221
