subject,model,accuracy,f1
1,mi_mamba,67.70833333333333,0.6511950463491185
1,ss_cfc,54.166666666666664,0.5337254858881904
1,ss_head,63.88888888888889,0.6370195402839267
2,mi_mamba,37.673611111111114,0.3567784196691234
2,ss_cfc,23.26388888888889,0.20499195296273276
2,ss_head,24.479166666666664,0.2077294793596811
3,mi_mamba,78.47222222222223,0.776822974665187
3,ss_cfc,56.423611111111114,0.5626037704042375
3,ss_head,72.04861111111111,0.7148455173098456
4,mi_mamba,43.576388888888886,0.40721255243822707
4,ss_cfc,35.24305555555556,0.3464530955031594
4,ss_head,34.02777777777778,0.32692104101339625
5,mi_mamba,28.993055555555557,0.2539841322606253
5,ss_cfc,26.041666666666664,0.23142827628642346
5,ss_head,27.256944444444443,0.2416671557091391
6,mi_mamba,39.236111111111114,0.3784537253551451
6,ss_cfc,31.42361111111111,0.2967367274273274
6,ss_head,37.15277777777778,0.35811445661135966
7,mi_mamba,71.52777777777777,0.7133462212925442
7,ss_cfc,36.80555555555556,0.3266433872336586
7,ss_head,40.97222222222222,0.3848041672745217
8,mi_mamba,76.73611111111111,0.7646157503247317
8,ss_cfc,41.666666666666664,0.39331291564005744
8,ss_head,60.24305555555556,0.5789064300601856
9,mi_mamba,68.75,0.6823661155059331
9,ss_cfc,58.50694444444444,0.5737330954947079
9,ss_head,63.71527777777778,0.626579744932936
