subject,model,accuracy,f1
1,cfc,62.317841079460266,0.616895417398131
1,eegnet,73.43628185907046,0.7243999976441021
1,hybrid_cfc,72.3913043478261,0.7183448124077503
1,lstm,58.32233883058471,0.5792171338528376
1,riemann_tslr,77.94602698650674,0.7787272686111079
1,shallow_convnet,77.94452773613193,0.7774112545208539
1,tiny_transformer,62.14842578710645,0.6084787590356726
2,cfc,31.775112443778102,0.2721901389615561
2,eegnet,38.01349325337331,0.3327425137098115
2,hybrid_cfc,41.3328335832084,0.3934696437100812
2,lstm,24.997001499250374,0.1839315969772819
2,riemann_tslr,55.73613193403298,0.5578832379128138
2,shallow_convnet,52.77661169415292,0.5253019885017335
2,tiny_transformer,40.62818590704647,0.3835225305383664
3,cfc,68.91604197901049,0.680067088869103
3,eegnet,73.10044977511244,0.6929221912050507
3,hybrid_cfc,76.56071964017991,0.7578620799133944
3,lstm,60.070464767616194,0.5933952054489053
3,riemann_tslr,86.97901049475263,0.8695744872426714
3,shallow_convnet,88.53973013493254,0.8858079802689955
3,tiny_transformer,63.73013493253374,0.6364293507770227
4,cfc,40.2743628185907,0.394793831835899
4,eegnet,40.96101949025488,0.4031268298436634
4,hybrid_cfc,36.97901049475262,0.3595656773961901
4,lstm,36.27886056971514,0.3383112914607221
4,riemann_tslr,65.44677661169416,0.653473958066504
4,shallow_convnet,66.6776611694153,0.6644331315427625
4,tiny_transformer,43.92653673163419,0.4239143921267527
5,cfc,33.68815592203898,0.3127196679105825
5,eegnet,25.69415292353823,0.2312901773685761
5,hybrid_cfc,25.69415292353823,0.2220830487674957
5,lstm,29.87256371814093,0.2603027480261637
5,riemann_tslr,42.18590704647677,0.4179229959963101
5,shallow_convnet,35.77061469265367,0.3495027883810834
5,tiny_transformer,29.34182908545727,0.2685185595825056
6,cfc,36.97901049475262,0.3411722233113931
6,eegnet,40.11694152923538,0.3798464202302135
6,hybrid_cfc,31.253373313343324,0.3077852407039004
6,lstm,34.01799100449775,0.3187834420493379
6,riemann_tslr,55.73163418290854,0.5536307579508668
6,shallow_convnet,56.24887556221889,0.5613826013952605
6,tiny_transformer,38.19190404797601,0.3776478294921598
7,cfc,52.79310344827586,0.5194263867189166
7,eegnet,56.05847076461769,0.5519426293606784
7,hybrid_cfc,55.72263868065967,0.5550669140202948
7,lstm,36.63718140929535,0.3295800857894685
7,riemann_tslr,76.39580209895053,0.7627822147856751
7,shallow_convnet,81.07046476761619,0.8093530641528005
7,tiny_transformer,56.94602698650674,0.5670695669024809
8,cfc,67.69865067466267,0.675960150812014
8,eegnet,70.83808095952023,0.6965291967598941
8,hybrid_cfc,73.25487256371814,0.7287328672408353
8,lstm,55.72863568215892,0.5524190247825113
8,riemann_tslr,83.50674662668666,0.8358187789534096
8,shallow_convnet,80.56521739130434,0.8038263016243326
8,tiny_transformer,68.41979010494752,0.682364869334315
9,cfc,63.89505247376312,0.6339776335254992
9,eegnet,77.43778110944527,0.7675534415789818
9,hybrid_cfc,69.27886056971514,0.6855019233198878
9,lstm,54.164917541229386,0.5137781607225327
9,riemann_tslr,70.49325337331334,0.7009184837482236
9,shallow_convnet,80.73313343328337,0.8049238920417432
9,tiny_transformer,68.4047976011994,0.6722512732279966
