subject,model,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c
1,shallow_convnet,70.13888888888889,0.6986789668760776,21.0,77.27272727272727,0.7659822702407837,
1,riemann_tslr,76.38888888888889,0.7648175406266295,,79.54545454545455,,10.0
1,eegnet,65.625,0.6341127202978748,76.0,59.09090909090909,0.7904560565948486,
1,tiny_transformer,55.208333333333336,0.5342884051163451,13.0,63.63636363636363,0.847055971622467,
1,hybrid_cfc,57.98611111111112,0.5627503508646947,49.0,63.63636363636363,0.9428260326385498,
1,cfc,52.43055555555556,0.5048130055656963,35.0,63.63636363636363,0.8783721923828125,
1,lstm,47.22222222222222,0.4734775641025641,41.0,54.54545454545454,0.9118625521659852,
2,shallow_convnet,46.875,0.43122594997595,39.0,47.72727272727273,1.251856565475464,
2,riemann_tslr,48.26388888888889,0.4424276145416539,,50.0,,1.0
2,eegnet,28.819444444444443,0.2494974447557221,45.0,27.27272727272727,1.385386347770691,
2,tiny_transformer,36.45833333333333,0.3371509413197815,42.0,50.0,1.20250141620636,
2,hybrid_cfc,39.58333333333333,0.3783735579842137,27.0,56.81818181818182,1.0523749589920044,
2,cfc,34.72222222222222,0.3212505669443968,46.0,36.36363636363637,1.3669352531433103,
2,lstm,23.61111111111111,0.2270727821592568,39.0,34.090909090909086,1.4414196014404297,
3,shallow_convnet,79.51388888888889,0.7796627203280782,36.0,86.36363636363636,0.507770299911499,
3,riemann_tslr,81.94444444444444,0.8060468194226156,,86.36363636363636,,0.1
3,eegnet,53.125,0.4638368117837118,22.0,59.09090909090909,0.986763596534729,
3,tiny_transformer,60.763888888888886,0.5709522845603866,31.0,77.27272727272727,0.662031352519989,
3,hybrid_cfc,71.875,0.6902160435900415,45.0,72.72727272727273,0.6505321860313416,
3,cfc,59.02777777777778,0.5793668119334396,52.0,72.72727272727273,0.7681992053985596,
3,lstm,48.95833333333333,0.4713178259649273,27.0,61.36363636363637,1.0904498100280762,
4,shallow_convnet,58.333333333333336,0.5805849555578395,57.0,52.27272727272727,1.214167594909668,
4,riemann_tslr,59.72222222222222,0.5970194104779523,,54.54545454545454,,0.1
4,eegnet,46.18055555555556,0.4585079409974815,34.0,36.36363636363637,1.3327689170837402,
4,tiny_transformer,42.36111111111111,0.4110565641753956,31.0,40.909090909090914,1.316730499267578,
4,hybrid_cfc,34.375,0.3301965861025336,13.0,31.818181818181817,1.48749577999115,
4,cfc,39.93055555555556,0.3906290829130244,53.0,40.909090909090914,1.3552943468093872,
4,lstm,38.54166666666667,0.3526967328894236,36.0,36.36363636363637,1.3266448974609375,
5,shallow_convnet,36.45833333333333,0.367302065404475,51.0,47.72727272727273,1.588934302330017,
5,riemann_tslr,46.18055555555556,0.4462432897316475,,34.090909090909086,,10.0
5,eegnet,25.34722222222222,0.2445271874685575,32.0,29.545454545454547,1.390894055366516,
5,tiny_transformer,30.90277777777778,0.2816114250726515,29.0,38.63636363636363,1.3619647026062012,
5,hybrid_cfc,27.08333333333333,0.2689862188986799,50.0,38.63636363636363,1.5924264192581177,
5,cfc,28.47222222222222,0.2552446429656287,32.0,34.090909090909086,1.3626335859298706,
5,lstm,25.694444444444443,0.1440857297883885,28.0,31.818181818181817,1.3678278923034668,
6,shallow_convnet,49.30555555555556,0.4943290583938542,44.0,65.9090909090909,1.2892794609069824,
6,riemann_tslr,49.65277777777778,0.4816981312969207,,47.72727272727273,,0.1
6,eegnet,39.58333333333333,0.386516975895941,28.0,47.72727272727273,1.341359257698059,
6,tiny_transformer,34.72222222222222,0.2931658354613332,26.0,40.909090909090914,1.3941946029663086,
6,hybrid_cfc,33.33333333333333,0.3208102693913554,39.0,40.909090909090914,1.5454044342041016,
6,cfc,34.375,0.2884633492210254,9.0,36.36363636363637,1.359614610671997,
6,lstm,29.166666666666668,0.2896996695614394,15.0,40.909090909090914,1.3697218894958496,
7,shallow_convnet,66.66666666666666,0.6530392874644007,47.0,72.72727272727273,0.6319634914398193,
7,riemann_tslr,66.31944444444444,0.6410440988140091,,70.45454545454545,,0.1
7,eegnet,35.41666666666667,0.2886441293855951,35.0,52.27272727272727,1.181898593902588,
7,tiny_transformer,39.23611111111111,0.3380834565688521,62.0,47.72727272727273,1.1137299537658691,
7,hybrid_cfc,46.52777777777778,0.424572960511268,42.0,54.54545454545454,1.2351330518722534,
7,cfc,35.41666666666667,0.3147130647130647,42.0,45.45454545454545,1.2586910724639893,
7,lstm,38.19444444444444,0.3456942719008106,17.0,50.0,1.3113055229187012,
8,shallow_convnet,72.56944444444444,0.7220917854321215,27.0,81.81818181818183,0.4214869439601898,
