subject,model,accuracy,f1,shuffle_accuracy,shuffle_f1,accuracy_drop,f1_drop
1,cfc,53.125,0.5326064277916653,26.25,0.1341444298002846,26.875,0.3984619979913807
2,cfc,25.34722222222222,0.2177703081232492,21.59722222222222,0.1194315747212194,3.75,0.0983387334020298
3,cfc,57.29166666666666,0.560238631090292,29.305555555555557,0.1879838673255352,27.98611111111111,0.3722547637647568
4,cfc,45.83333333333333,0.3881959361311924,26.45833333333333,0.1349623130291611,19.375,0.2532336231020312
5,cfc,29.166666666666668,0.2153350482430506,25.069444444444446,0.1028891259765597,4.097222222222221,0.1124459222664909
6,cfc,33.68055555555556,0.2914467402421172,24.51388888888889,0.1048584644678242,9.166666666666668,0.1865882757742929
7,cfc,32.29166666666667,0.2487960243847008,29.305555555555557,0.18859135085472,2.986111111111118,0.0602046735299807
8,cfc,57.29166666666666,0.5703129404889671,40.48611111111111,0.3225108024396992,16.805555555555557,0.2478021380492678
9,cfc,59.375,0.5615392488567543,55.48611111111111,0.5038526154021756,3.888888888888893,0.0576866334545786
1,eegnet,65.625,0.6341127202978748,29.166666666666668,0.1819138033824863,36.45833333333333,0.4521989169153885
2,eegnet,28.819444444444443,0.2494974447557221,26.944444444444446,0.204130698536114,1.8749999999999964,0.045366746219608
3,eegnet,53.125,0.4638368117837118,34.58333333333333,0.2409739665983729,18.54166666666667,0.2228628451853389
4,eegnet,46.18055555555556,0.4585079409974815,31.736111111111107,0.262220744605051,14.44444444444445,0.1962871963924304
5,eegnet,25.34722222222222,0.2445271874685575,25.694444444444446,0.2482791721787807,-0.347222222222225,-0.0037519847102231
6,eegnet,39.58333333333333,0.386516975895941,31.388888888888893,0.2912894934387544,8.194444444444436,0.0952274824571866
7,eegnet,35.41666666666667,0.2886441293855951,32.5,0.234693178440343,2.9166666666666714,0.053950950945252
8,eegnet,60.41666666666666,0.5789317058994479,40.90277777777778,0.3295992374293695,19.51388888888889,0.2493324684700783
9,eegnet,61.80555555555556,0.5752580730098681,45.34722222222222,0.3954580432550954,16.458333333333336,0.1798000297547726
1,lstm,42.70833333333333,0.4053564197960967,30.625,0.1993693341356603,12.083333333333329,0.2059870856604364
2,lstm,27.43055555555556,0.1797708557107053,27.08333333333333,0.1723498104658597,0.347222222222225,0.0074210452448456
3,lstm,49.30555555555556,0.4740280990575694,25.13888888888889,0.1052618901973696,24.166666666666668,0.3687662088601998
4,lstm,37.5,0.2980713468921016,28.47222222222222,0.1744811314159871,9.02777777777778,0.1235902154761144
5,lstm,30.20833333333333,0.2661247753818508,26.111111111111107,0.1819648868245938,4.097222222222225,0.084159888557257
6,lstm,31.25,0.2734958223870958,26.111111111111107,0.1371292144328694,5.138888888888893,0.1363666079542263
7,lstm,35.41666666666667,0.3005197041376115,28.40277777777778,0.1887093566565847,7.013888888888893,0.1118103474810267
8,lstm,38.54166666666667,0.3501493827847548,26.319444444444446,0.1656083685865856,12.222222222222223,0.1845410141981691
9,lstm,46.875,0.4337832999823328,24.86111111111111,0.1219118641670162,22.01388888888889,0.3118714358153166
1,riemann_tslr,76.38888888888889,0.7648175406266295,76.38888888888889,0.7648175406266295,0.0,0.0
2,riemann_tslr,48.26388888888889,0.4424276145416539,48.26388888888889,0.4424276145416539,0.0,0.0
3,riemann_tslr,81.94444444444444,0.8060468194226156,81.94444444444444,0.8060468194226156,0.0,0.0
4,riemann_tslr,59.72222222222222,0.5970194104779523,59.72222222222221,0.5970194104779523,7.105427357601002e-15,0.0
5,riemann_tslr,46.18055555555556,0.4462432897316475,46.18055555555556,0.4462432897316475,0.0,0.0
6,riemann_tslr,49.65277777777778,0.4816981312969207,49.65277777777778,0.4816981312969207,0.0,0.0
7,riemann_tslr,66.31944444444444,0.6410440988140091,66.31944444444444,0.6410440988140091,0.0,0.0
8,riemann_tslr,67.70833333333334,0.6825532515220996,67.70833333333334,0.6825532515220996,0.0,0.0
9,riemann_tslr,69.09722222222221,0.6896139820516677,69.09722222222221,0.6896139820516677,0.0,0.0
1,shallow_convnet,70.13888888888889,0.6986789668760776,34.09722222222222,0.2496232231131689,36.04166666666666,0.4490557437629086
2,shallow_convnet,46.875,0.43122594997595,29.236111111111107,0.1956829684403828,17.638888888888893,0.2355429815355671
3,shallow_convnet,79.51388888888889,0.7796627203280782,38.54166666666666,0.2787384818090898,40.97222222222222,0.5009242385189884
4,shallow_convnet,58.333333333333336,0.5805849555578395,34.58333333333333,0.2617551103920851,23.750000000000007,0.3188298451657544
5,shallow_convnet,36.45833333333333,0.367302065404475,23.958333333333336,0.1824747610048546,12.499999999999991,0.1848273043996204
6,shallow_convnet,49.30555555555556,0.4943290583938542,27.916666666666668,0.1845572487071332,21.38888888888889,0.3097718096867209
7,shallow_convnet,66.66666666666666,0.6530392874644007,30.069444444444446,0.2003929410349153,36.59722222222221,0.4526463464294853
8,shallow_convnet,72.56944444444444,0.7220917854321215,39.93055555555556,0.3474528692115639,32.638888888888886,0.3746389162205576
9,shallow_convnet,75.69444444444444,0.7524231694104591,45.83333333333333,0.4234692665004037,29.861111111111114,0.3289539029100553
