subject,model,accuracy,f1
1,cfc,62.84107946026986,0.6252972238355022
1,eegnet,72.57421289355322,0.7137952483157738
1,hybrid_cfc,70.31784107946027,0.700231798421591
1,lstm,55.88755622188906,0.5571367781418335
1,mi_mamba,69.26536731634182,0.6519061430991819
1,riemann_tslr,77.94602698650674,0.7787272686111079
1,shallow_convnet,75.1784107946027,0.748107768578968
1,tiny_transformer,64.74662668665667,0.6433451190774035
2,cfc,35.06896551724138,0.32034420973695077
2,eegnet,35.40179910044977,0.32731902627346415
2,hybrid_cfc,37.30884557721139,0.3494786572852871
2,lstm,24.128935532233886,0.1871746930917197
2,mi_mamba,43.05097451274363,0.4124037925399208
2,riemann_tslr,55.73613193403298,0.5578832379128138
2,shallow_convnet,51.044977511244376,0.5100094530181571
2,tiny_transformer,38.88455772113943,0.37197999924457714
3,cfc,68.91454272863568,0.6774721348473254
3,eegnet,73.95802098950524,0.7078478989197937
3,hybrid_cfc,72.40029985007496,0.7123814384221874
3,lstm,56.26236881559221,0.5567753827216709
3,mi_mamba,81.952023988006,0.811655365430018
3,riemann_tslr,86.97901049475263,0.8695744872426714
3,shallow_convnet,90.4512743628186,0.9043766770114603
3,tiny_transformer,63.89805097451274,0.6221249728354046
4,cfc,39.749625187406295,0.369204115812717
4,eegnet,43.391304347826086,0.4178658981297927
4,hybrid_cfc,40.08695652173913,0.39251649428318147
4,lstm,37.32533733133433,0.35639339412646664
4,mi_mamba,47.74362818590704,0.45474266642487826
4,riemann_tslr,65.44677661169416,0.653473958066504
4,shallow_convnet,65.28485757121439,0.6531867373603533
4,tiny_transformer,43.57721139430285,0.426207021892977
5,cfc,30.037481259370317,0.26432618818302667
5,eegnet,25.337331334332834,0.21714567895506284
5,hybrid_cfc,29.51274362818591,0.25599078774116496
5,lstm,25.706146926536736,0.21363724226419292
5,mi_mamba,28.644677661169414,0.2608718063916458
5,riemann_tslr,42.185907046476764,0.4179229959963101
5,shallow_convnet,38.541229385307346,0.3766757520459275
5,tiny_transformer,27.256371814092955,0.22757624762549322
6,cfc,31.245877061469265,0.28355184865886834
6,eegnet,39.75112443778111,0.38090588414680404
6,hybrid_cfc,29.51424287856072,0.28999004800912787
6,lstm,33.8455772113943,0.32395983237267256
6,mi_mamba,41.31784107946027,0.4052829191702104
6,riemann_tslr,55.73163418290854,0.5536307579508668
6,shallow_convnet,57.30284857571214,0.5731025091171327
6,tiny_transformer,39.24287856071964,0.3780529647356877
7,cfc,43.040479760119936,0.4068676446716741
7,eegnet,60.74212893553223,0.5987822072553135
7,hybrid_cfc,58.84707646176912,0.586280682100873
7,lstm,37.848575712143926,0.30219914168423256
7,mi_mamba,68.90254872563717,0.6805008722495937
7,riemann_tslr,76.39580209895053,0.7627822147856751
7,shallow_convnet,80.5487256371814,0.8044152866049336
7,tiny_transformer,53.81709145427286,0.5280025254021737
8,cfc,68.74062968515742,0.684154974982342
8,eegnet,76.73163418290855,0.7569915589330872
8,hybrid_cfc,68.75562218890555,0.6840063440148736
8,lstm,56.082458770614686,0.5458184247268556
8,mi_mamba,77.4287856071964,0.7715585994143195
8,riemann_tslr,83.50674662668666,0.8358187789534096
8,shallow_convnet,79.86356821589206,0.7975095040265449
8,tiny_transformer,67.01949025487257,0.6652576568003091
9,cfc,64.92653673163417,0.6385278380204502
9,eegnet,74.49025487256372,0.7311252923265723
9,hybrid_cfc,69.62068965517241,0.6907358605879738
9,lstm,54.518740629685155,0.5192530653069763
9,mi_mamba,73.0944527736132,0.7270603086425573
9,riemann_tslr,70.49325337331334,0.7009184837482236
9,shallow_convnet,80.56521739130434,0.8043267621826573
9,tiny_transformer,68.58470764617691,0.6750359939448842
