subject,cfc,eegnet,hybrid_cfc,lstm,riemann_tslr,shallow_convnet,tiny_transformer
1,48.26388888888889,64.23611111111111,62.15277777777778,46.52777777777778,76.38888888888889,70.48611111111111,62.84722222222222
2,33.68055555555556,30.90277777777778,37.15277777777778,25.0,48.26388888888889,45.83333333333333,40.27777777777778
3,64.58333333333334,56.25,50.34722222222222,49.65277777777778,81.94444444444444,78.81944444444444,58.333333333333336
4,41.66666666666667,39.23611111111111,45.48611111111111,38.19444444444444,59.72222222222222,56.94444444444444,39.58333333333333
5,28.125,27.083333333333332,25.0,25.0,46.18055555555556,32.98611111111111,22.22222222222222
6,37.84722222222222,31.59722222222222,30.555555555555557,28.819444444444443,49.65277777777778,45.48611111111111,30.208333333333332
7,35.06944444444444,35.41666666666667,44.09722222222222,38.54166666666667,66.31944444444444,60.416666666666664,39.93055555555556
8,60.416666666666664,62.5,56.59722222222222,48.61111111111111,67.70833333333334,71.18055555555556,62.84722222222222
9,56.25,62.5,53.81944444444444,48.95833333333333,69.09722222222221,72.91666666666666,65.27777777777779
