test_subject,subject,validation_subject,model,model_display,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c,heldout_subject
1,1,7,shallow_convnet,Shallow ConvNet,59.375,0.5822351855044187,17.0,40.10416666666667,1.3552563852734036,,1
1,1,7,riemann_tslr,Riemann-TSLR,44.09722222222222,0.3542975163457642,,29.34027777777778,,0.1,1
1,1,7,eegnet,EEGNet,60.24305555555556,0.5784446954798027,41.0,36.97916666666667,1.3276936213175456,,1
1,1,7,mi_mamba,MI-Mamba-style,51.388888888888886,0.4765616909122809,13.0,32.63888888888889,1.41789972782135,,1
1,1,7,tiny_transformer,Tiny-Transformer,47.39583333333333,0.4114309676076915,5.0,35.06944444444444,1.3602038754357233,,1
1,1,7,cfc,CfC-style,52.60416666666666,0.4520844891030317,4.0,41.66666666666667,1.3414336575402157,,1
1,1,7,lstm,LSTM,50.69444444444444,0.4658767639176076,28.0,39.58333333333333,1.3140936825010512,,1
2,2,8,shallow_convnet,Shallow ConvNet,28.99305555555556,0.2894506555552434,41.0,66.31944444444444,0.8474660250875685,,2
2,2,8,riemann_tslr,Riemann-TSLR,26.90972222222222,0.2405381557797395,,39.23611111111111,,0.1,2
2,2,8,eegnet,EEGNet,35.9375,0.3038227003955534,16.0,68.92361111111111,0.8955468402968513,,2
2,2,8,mi_mamba,MI-Mamba-style,27.77777777777778,0.2646645173158911,46.0,60.24305555555556,0.946166217327118,,2
2,2,8,tiny_transformer,Tiny-Transformer,27.43055555555556,0.2602018206378882,18.0,61.63194444444444,1.0264126989576552,,2
2,2,8,cfc,CfC-style,27.256944444444443,0.1823798049717043,27.0,65.97222222222221,0.8953656554222107,,2
2,2,8,lstm,LSTM,27.77777777777778,0.2171249199447197,56.0,65.10416666666666,1.0101443065537348,,2
3,3,9,shallow_convnet,Shallow ConvNet,54.513888888888886,0.541405181143258,55.0,63.54166666666666,1.2650404771169026,,3
3,3,9,riemann_tslr,Riemann-TSLR,35.24305555555556,0.2921526217657488,,42.36111111111111,,10.0,3
3,3,9,eegnet,EEGNet,59.895833333333336,0.5950918413791071,42.0,55.55555555555556,1.1908313433329265,,3
3,3,9,mi_mamba,MI-Mamba-style,52.083333333333336,0.4850252165188001,31.0,54.16666666666666,1.1617484158939786,,3
3,3,9,tiny_transformer,Tiny-Transformer,48.26388888888889,0.4785240541821148,24.0,44.79166666666667,1.8162746826807656,,3
3,3,9,cfc,CfC-style,60.59027777777778,0.5857024688072952,37.0,48.95833333333333,1.339957104788886,,3
