subject,model,model_display,class_name,f1
4,hybrid_cfc,Hybrid-CfC-style,right_hand,0.3904109589041096
4,hybrid_cfc,Hybrid-CfC-style,feet,0.3346303501945525
4,hybrid_cfc,Hybrid-CfC-style,tongue,0.33858267716535434
4,lstm,LSTM,left_hand,0.48125
4,lstm,LSTM,right_hand,0.25196850393700787
4,lstm,LSTM,feet,0.24166666666666667
4,lstm,LSTM,tongue,0.40236686390532544
4,riemann_tslr,Riemann-TSLR,left_hand,0.6440677966101694
4,riemann_tslr,Riemann-TSLR,right_hand,0.6308243727598566
4,riemann_tslr,Riemann-TSLR,feet,0.6338028169014085
4,riemann_tslr,Riemann-TSLR,tongue,0.6598639455782312
4,shallow_convnet,Shallow ConvNet,left_hand,0.58
4,shallow_convnet,Shallow ConvNet,right_hand,0.5591397849462365
4,shallow_convnet,Shallow ConvNet,feet,0.6285714285714286
4,shallow_convnet,Shallow ConvNet,tongue,0.621160409556314
4,tiny_transformer,Tiny-Transformer,left_hand,0.5426829268292683
4,tiny_transformer,Tiny-Transformer,right_hand,0.44787644787644787
4,tiny_transformer,Tiny-Transformer,feet,0.47249190938511326
4,tiny_transformer,Tiny-Transformer,tongue,0.359375
5,cfc,CfC-style,left_hand,0.36470588235294116
5,cfc,CfC-style,right_hand,0.27611940298507465
5,cfc,CfC-style,feet,0.23107569721115537
5,cfc,CfC-style,tongue,0.32764505119453924
5,eegnet,EEGNet,left_hand,0.2916666666666667
5,eegnet,EEGNet,right_hand,0.23484848484848486
5,eegnet,EEGNet,feet,0.17674418604651163
5,eegnet,EEGNet,tongue,0.2789317507418398
5,hybrid_cfc,Hybrid-CfC-style,left_hand,0.3284457478005865
5,hybrid_cfc,Hybrid-CfC-style,right_hand,0.14563106796116504
5,hybrid_cfc,Hybrid-CfC-style,feet,0.1991701244813278
5,hybrid_cfc,Hybrid-CfC-style,tongue,0.31868131868131866
5,lstm,LSTM,left_hand,0.23574144486692014
5,lstm,LSTM,right_hand,0.26666666666666666
5,lstm,LSTM,feet,0.175
5,lstm,LSTM,tongue,0.3473053892215569
5,riemann_tslr,Riemann-TSLR,left_hand,0.4142857142857143
5,riemann_tslr,Riemann-TSLR,right_hand,0.4429530201342282
5,riemann_tslr,Riemann-TSLR,feet,0.427536231884058
5,riemann_tslr,Riemann-TSLR,tongue,0.5302013422818792
5,shallow_convnet,Shallow ConvNet,left_hand,0.4135593220338983
5,shallow_convnet,Shallow ConvNet,right_hand,0.42857142857142855
5,shallow_convnet,Shallow ConvNet,feet,0.2901960784313726
5,shallow_convnet,Shallow ConvNet,tongue,0.5170068027210885
5,tiny_transformer,Tiny-Transformer,left_hand,0.3310344827586207
5,tiny_transformer,Tiny-Transformer,right_hand,0.23728813559322035
5,tiny_transformer,Tiny-Transformer,feet,0.2967741935483871
5,tiny_transformer,Tiny-Transformer,tongue,0.4050632911392405
6,cfc,CfC-style,left_hand,0.42718446601941745
6,cfc,CfC-style,right_hand,0.3135593220338983
6,cfc,CfC-style,feet,0.3948220064724919
6,cfc,CfC-style,tongue,0.3624161073825503
6,eegnet,EEGNet,left_hand,0.4398826979472141
6,eegnet,EEGNet,right_hand,0.3228346456692913
6,eegnet,EEGNet,feet,0.4444444444444444
6,eegnet,EEGNet,tongue,0.4307692307692308
6,hybrid_cfc,Hybrid-CfC-style,left_hand,0.3586626139817629
6,hybrid_cfc,Hybrid-CfC-style,right_hand,0.2571428571428571
6,hybrid_cfc,Hybrid-CfC-style,feet,0.2711864406779661
6,hybrid_cfc,Hybrid-CfC-style,tongue,0.3322475570032573
6,lstm,LSTM,left_hand,0.3173431734317343
6,lstm,LSTM,right_hand,0.3076923076923077
6,lstm,LSTM,feet,0.3536977491961415
