model,model_display,true_label,pred_label,count,row_normalized
hybrid_cfc,Hybrid-CfC-style,left_hand,tongue,149,0.11496913580246913
hybrid_cfc,Hybrid-CfC-style,right_hand,left_hand,319,0.24614197530864199
hybrid_cfc,Hybrid-CfC-style,right_hand,right_hand,674,0.5200617283950617
hybrid_cfc,Hybrid-CfC-style,right_hand,feet,124,0.09567901234567901
hybrid_cfc,Hybrid-CfC-style,right_hand,tongue,179,0.1381172839506173
hybrid_cfc,Hybrid-CfC-style,feet,left_hand,223,0.1720679012345679
hybrid_cfc,Hybrid-CfC-style,feet,right_hand,199,0.15354938271604937
hybrid_cfc,Hybrid-CfC-style,feet,feet,587,0.4529320987654321
hybrid_cfc,Hybrid-CfC-style,feet,tongue,287,0.22145061728395063
hybrid_cfc,Hybrid-CfC-style,tongue,left_hand,172,0.13271604938271606
hybrid_cfc,Hybrid-CfC-style,tongue,right_hand,148,0.11419753086419752
hybrid_cfc,Hybrid-CfC-style,tongue,feet,281,0.21682098765432098
hybrid_cfc,Hybrid-CfC-style,tongue,tongue,695,0.5362654320987654
tiny_transformer,Tiny-Transformer,left_hand,left_hand,723,0.5578703703703703
tiny_transformer,Tiny-Transformer,left_hand,right_hand,229,0.17669753086419754
tiny_transformer,Tiny-Transformer,left_hand,feet,191,0.14737654320987653
tiny_transformer,Tiny-Transformer,left_hand,tongue,153,0.11805555555555555
tiny_transformer,Tiny-Transformer,right_hand,left_hand,296,0.22839506172839505
tiny_transformer,Tiny-Transformer,right_hand,right_hand,615,0.47453703703703703
tiny_transformer,Tiny-Transformer,right_hand,feet,200,0.15432098765432098
tiny_transformer,Tiny-Transformer,right_hand,tongue,185,0.1427469135802469
tiny_transformer,Tiny-Transformer,feet,left_hand,206,0.15895061728395063
tiny_transformer,Tiny-Transformer,feet,right_hand,154,0.11882716049382716
tiny_transformer,Tiny-Transformer,feet,feet,627,0.4837962962962963
tiny_transformer,Tiny-Transformer,feet,tongue,309,0.23842592592592593
tiny_transformer,Tiny-Transformer,tongue,left_hand,135,0.10416666666666667
tiny_transformer,Tiny-Transformer,tongue,right_hand,145,0.11188271604938271
tiny_transformer,Tiny-Transformer,tongue,feet,298,0.22993827160493827
tiny_transformer,Tiny-Transformer,tongue,tongue,718,0.5540123456790124
