subject,model,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c
1,gru,51.736111111111114,0.49511649389100365,18,54.54545454545454,0.9067833423614502,
2,gru,26.38888888888889,0.2312127236961722,4,29.545454545454547,1.3883649110794067,
3,gru,53.47222222222222,0.5281759092706698,52,63.63636363636363,1.0008403062820435,
4,gru,38.88888888888889,0.3890935328087719,41,43.18181818181818,1.3026789426803589,
5,gru,25.34722222222222,0.16658419738647354,15,34.090909090909086,1.3823224306106567,
6,gru,31.59722222222222,0.30837324299870134,11,45.45454545454545,1.373878002166748,
7,gru,35.06944444444444,0.2837677310293943,12,40.909090909090914,1.3521231412887573,
8,gru,42.01388888888889,0.4128434109065014,15,59.09090909090909,1.087382435798645,
9,gru,58.68055555555556,0.5772656650340837,40,54.54545454545454,1.1921608448028564,
