subject,model,model_display,class_name,f1
4,hybrid_cfc,Hybrid-CfC-style,feet,0.3103448275862069
4,hybrid_cfc,Hybrid-CfC-style,tongue,0.34146341463414637
4,lstm,LSTM,left_hand,0.4868421052631579
4,lstm,LSTM,right_hand,0.2831858407079646
4,lstm,LSTM,feet,0.14814814814814814
4,lstm,LSTM,tongue,0.49261083743842365
4,riemann_tslr,Riemann-TSLR,left_hand,0.5396825396825397
4,riemann_tslr,Riemann-TSLR,right_hand,0.5925925925925926
4,riemann_tslr,Riemann-TSLR,feet,0.5842696629213483
4,riemann_tslr,Riemann-TSLR,tongue,0.6715328467153284
4,shallow_convnet,Shallow ConvNet,left_hand,0.6575342465753424
4,shallow_convnet,Shallow ConvNet,right_hand,0.6233766233766234
4,shallow_convnet,Shallow ConvNet,feet,0.512396694214876
4,shallow_convnet,Shallow ConvNet,tongue,0.5290322580645161
4,tiny_transformer,Tiny-Transformer,left_hand,0.5294117647058824
4,tiny_transformer,Tiny-Transformer,right_hand,0.2909090909090909
4,tiny_transformer,Tiny-Transformer,feet,0.38095238095238093
4,tiny_transformer,Tiny-Transformer,tongue,0.4429530201342282
5,cfc,CfC-style,left_hand,0.37168141592920356
5,cfc,CfC-style,right_hand,0.12631578947368421
5,cfc,CfC-style,feet,0.20869565217391303
5,cfc,CfC-style,tongue,0.3142857142857143
5,eegnet,EEGNet,left_hand,0.1864406779661017
5,eegnet,EEGNet,right_hand,0.3005181347150259
5,eegnet,EEGNet,feet,0.1746031746031746
5,eegnet,EEGNet,tongue,0.31654676258992803
5,hybrid_cfc,Hybrid-CfC-style,left_hand,0.2857142857142857
5,hybrid_cfc,Hybrid-CfC-style,right_hand,0.2839506172839506
5,hybrid_cfc,Hybrid-CfC-style,feet,0.26490066225165565
5,hybrid_cfc,Hybrid-CfC-style,tongue,0.2413793103448276
5,lstm,LSTM,left_hand,0.0
5,lstm,LSTM,right_hand,0.4
5,lstm,LSTM,feet,0.12371134020618557
5,lstm,LSTM,tongue,0.05263157894736842
5,riemann_tslr,Riemann-TSLR,left_hand,0.41935483870967744
5,riemann_tslr,Riemann-TSLR,right_hand,0.3564356435643564
5,riemann_tslr,Riemann-TSLR,feet,0.4578313253012048
5,riemann_tslr,Riemann-TSLR,tongue,0.5513513513513514
5,shallow_convnet,Shallow ConvNet,left_hand,0.37349397590361444
5,shallow_convnet,Shallow ConvNet,right_hand,0.36
5,shallow_convnet,Shallow ConvNet,feet,0.2857142857142857
5,shallow_convnet,Shallow ConvNet,tongue,0.45
5,tiny_transformer,Tiny-Transformer,left_hand,0.3893805309734513
5,tiny_transformer,Tiny-Transformer,right_hand,0.11764705882352941
5,tiny_transformer,Tiny-Transformer,feet,0.24347826086956523
5,tiny_transformer,Tiny-Transformer,tongue,0.37593984962406013
6,cfc,CfC-style,left_hand,0.43171806167400884
6,cfc,CfC-style,right_hand,0.0
6,cfc,CfC-style,feet,0.37681159420289856
6,cfc,CfC-style,tongue,0.34532374100719426
6,eegnet,EEGNet,left_hand,0.47058823529411764
6,eegnet,EEGNet,right_hand,0.2878787878787879
6,eegnet,EEGNet,feet,0.425531914893617
6,eegnet,EEGNet,tongue,0.3620689655172414
6,hybrid_cfc,Hybrid-CfC-style,left_hand,0.45054945054945056
6,hybrid_cfc,Hybrid-CfC-style,right_hand,0.3006535947712418
6,hybrid_cfc,Hybrid-CfC-style,feet,0.288135593220339
6,hybrid_cfc,Hybrid-CfC-style,tongue,0.24390243902439024
6,lstm,LSTM,left_hand,0.28368794326241137
6,lstm,LSTM,right_hand,0.33121019108280253
6,lstm,LSTM,feet,0.32167832167832167
6,lstm,LSTM,tongue,0.2222222222222222
6,riemann_tslr,Riemann-TSLR,left_hand,0.538860103626943
6,riemann_tslr,Riemann-TSLR,right_hand,0.4424778761061947
6,riemann_tslr,Riemann-TSLR,feet,0.5454545454545454
6,riemann_tslr,Riemann-TSLR,tongue,0.4
6,shallow_convnet,Shallow ConvNet,left_hand,0.524390243902439
6,shallow_convnet,Shallow ConvNet,right_hand,0.4457831325301205
6,shallow_convnet,Shallow ConvNet,feet,0.5238095238095238
6,shallow_convnet,Shallow ConvNet,tongue,0.48333333333333334
6,tiny_transformer,Tiny-Transformer,left_hand,0.43373493975903615
6,tiny_transformer,Tiny-Transformer,right_hand,0.16666666666666666
6,tiny_transformer,Tiny-Transformer,feet,0.44594594594594594
6,tiny_transformer,Tiny-Transformer,tongue,0.12631578947368421
7,cfc,CfC-style,left_hand,0.26373626373626374
7,cfc,CfC-style,right_hand,0.2222222222222222
7,cfc,CfC-style,feet,0.2857142857142857
7,cfc,CfC-style,tongue,0.48717948717948717
7,eegnet,EEGNet,left_hand,0.21359223300970873
7,eegnet,EEGNet,right_hand,0.1935483870967742
7,eegnet,EEGNet,feet,0.21666666666666667
7,eegnet,EEGNet,tongue,0.5307692307692308
7,hybrid_cfc,Hybrid-CfC-style,left_hand,0.25806451612903225
7,hybrid_cfc,Hybrid-CfC-style,right_hand,0.3684210526315789
7,hybrid_cfc,Hybrid-CfC-style,feet,0.4585987261146497
7,hybrid_cfc,Hybrid-CfC-style,tongue,0.6132075471698113
7,lstm,LSTM,left_hand,0.2909090909090909
7,lstm,LSTM,right_hand,0.2764227642276423
7,lstm,LSTM,feet,0.2962962962962963
7,lstm,LSTM,tongue,0.5191489361702127
7,riemann_tslr,Riemann-TSLR,left_hand,0.44
7,riemann_tslr,Riemann-TSLR,right_hand,0.7380952380952381
7,riemann_tslr,Riemann-TSLR,feet,0.6821705426356589
7,riemann_tslr,Riemann-TSLR,tongue,0.7039106145251397
7,shallow_convnet,Shallow ConvNet,left_hand,0.49056603773584906
7,shallow_convnet,Shallow ConvNet,right_hand,0.6896551724137931
7,shallow_convnet,Shallow ConvNet,feet,0.7272727272727273
7,shallow_convnet,Shallow ConvNet,tongue,0.7046632124352331
7,tiny_transformer,Tiny-Transformer,left_hand,0.12195121951219512
7,tiny_transformer,Tiny-Transformer,right_hand,0.3620689655172414
7,tiny_transformer,Tiny-Transformer,feet,0.3458646616541353
7,tiny_transformer,Tiny-Transformer,tongue,0.5224489795918368
8,cfc,CfC-style,left_hand,0.7058823529411765
8,cfc,CfC-style,right_hand,0.6417910447761194
8,cfc,CfC-style,feet,0.27906976744186046
8,cfc,CfC-style,tongue,0.6190476190476191
8,eegnet,EEGNet,left_hand,0.7135135135135136
8,eegnet,EEGNet,right_hand,0.6838709677419355
8,eegnet,EEGNet,feet,0.34234234234234234
8,eegnet,EEGNet,tongue,0.576
8,hybrid_cfc,Hybrid-CfC-style,left_hand,0.7323943661971831
8,hybrid_cfc,Hybrid-CfC-style,right_hand,0.7682926829268293
8,hybrid_cfc,Hybrid-CfC-style,feet,0.6708860759493671
8,hybrid_cfc,Hybrid-CfC-style,tongue,0.5357142857142857
8,lstm,LSTM,left_hand,0.37398373983739835
8,lstm,LSTM,right_hand,0.5555555555555556
8,lstm,LSTM,feet,0.31788079470198677
8,lstm,LSTM,tongue,0.5714285714285714
8,riemann_tslr,Riemann-TSLR,left_hand,0.5742574257425742
8,riemann_tslr,Riemann-TSLR,right_hand,0.7538461538461538
8,riemann_tslr,Riemann-TSLR,feet,0.6216216216216216
8,riemann_tslr,Riemann-TSLR,tongue,0.7804878048780488
8,shallow_convnet,Shallow ConvNet,left_hand,0.8027210884353742
8,shallow_convnet,Shallow ConvNet,right_hand,0.782051282051282
8,shallow_convnet,Shallow ConvNet,feet,0.6535947712418301
8,shallow_convnet,Shallow ConvNet,tongue,0.65
8,tiny_transformer,Tiny-Transformer,left_hand,0.7239263803680982
8,tiny_transformer,Tiny-Transformer,right_hand,0.7071823204419889
8,tiny_transformer,Tiny-Transformer,feet,0.3448275862068966
8,tiny_transformer,Tiny-Transformer,tongue,0.5344827586206896
9,cfc,CfC-style,left_hand,0.8456375838926175
9,cfc,CfC-style,right_hand,0.27522935779816515
9,cfc,CfC-style,feet,0.27722772277227725
9,cfc,CfC-style,tongue,0.6359447004608295
9,eegnet,EEGNet,left_hand,0.7861271676300579
9,eegnet,EEGNet,right_hand,0.5645161290322581
9,eegnet,EEGNet,feet,0.2653061224489796
9,eegnet,EEGNet,tongue,0.6850828729281768
9,hybrid_cfc,Hybrid-CfC-style,left_hand,0.7659574468085106
9,hybrid_cfc,Hybrid-CfC-style,right_hand,0.4025974025974026
9,hybrid_cfc,Hybrid-CfC-style,feet,0.26666666666666666
9,hybrid_cfc,Hybrid-CfC-style,tongue,0.6363636363636364
9,lstm,LSTM,left_hand,0.5962732919254659
9,lstm,LSTM,right_hand,0.2807017543859649
9,lstm,LSTM,feet,0.23529411764705882
9,lstm,LSTM,tongue,0.6834170854271356
9,riemann_tslr,Riemann-TSLR,left_hand,0.5789473684210527
9,riemann_tslr,Riemann-TSLR,right_hand,0.6011560693641619
9,riemann_tslr,Riemann-TSLR,feet,0.7172413793103448
9,riemann_tslr,Riemann-TSLR,tongue,0.8611111111111112
9,shallow_convnet,Shallow ConvNet,left_hand,0.9
9,shallow_convnet,Shallow ConvNet,right_hand,0.5846153846153846
9,shallow_convnet,Shallow ConvNet,feet,0.7323943661971831
9,shallow_convnet,Shallow ConvNet,tongue,0.7926829268292683
9,tiny_transformer,Tiny-Transformer,left_hand,0.84375
9,tiny_transformer,Tiny-Transformer,right_hand,0.2982456140350877
9,tiny_transformer,Tiny-Transformer,feet,0.41379310344827586
9,tiny_transformer,Tiny-Transformer,tongue,0.6422018348623854
