subject,model,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c
1,shallow_convnet,70.48611111111111,0.7069468468682776,46.0,70.45454545454545,0.818746030330658,
1,riemann_tslr,76.38888888888889,0.7648175406266295,,79.54545454545455,,10.0
1,eegnet,64.23611111111111,0.6178984840180891,74.0,59.09090909090909,0.7783447504043579,
1,hybrid_cfc,62.15277777777778,0.6047254169453553,44.0,61.36363636363637,0.966590702533722,
1,tiny_transformer,62.84722222222222,0.6221003950512147,27.0,68.18181818181817,0.7937474846839905,
1,cfc,48.26388888888889,0.4752270537167602,37.0,59.09090909090909,0.8982667326927185,
1,lstm,46.52777777777778,0.4518793247306259,47.0,54.54545454545454,1.017592191696167,
2,shallow_convnet,45.83333333333333,0.4430934147871278,31.0,50.0,1.1478705406188965,
2,riemann_tslr,48.26388888888889,0.4424276145416539,,50.0,,1.0
2,eegnet,30.90277777777778,0.309953437361554,73.0,47.72727272727273,1.3133012056350708,
2,hybrid_cfc,37.15277777777778,0.3198903879169534,28.0,63.63636363636363,1.0551701784133911,
2,tiny_transformer,40.27777777777778,0.3704206963249516,39.0,45.45454545454545,1.230605959892273,
2,cfc,33.68055555555556,0.3371379519130807,44.0,36.36363636363637,1.3528834581375122,
2,lstm,25.0,0.2438198154134413,39.0,34.090909090909086,1.4458963871002195,
3,shallow_convnet,78.81944444444444,0.7694093914363473,34.0,86.36363636363636,0.4566746056079864,
3,riemann_tslr,81.94444444444444,0.8060468194226156,,86.36363636363636,,0.1
3,eegnet,56.25,0.4963009511396608,23.0,61.36363636363637,1.0786151885986328,
3,hybrid_cfc,50.34722222222222,0.4656341645284346,43.0,50.0,1.0489932298660278,
3,tiny_transformer,58.333333333333336,0.541331043956044,46.0,79.54545454545455,0.738121747970581,
3,cfc,64.58333333333334,0.6441917361116768,64.0,70.45454545454545,0.7855144143104553,
3,lstm,49.65277777777778,0.4784392036251952,60.0,56.81818181818182,1.1583144664764404,
4,shallow_convnet,56.94444444444444,0.5655383734540624,43.0,54.54545454545454,1.1634987592697144,
4,riemann_tslr,59.72222222222222,0.5970194104779523,,54.54545454545454,,0.1
4,eegnet,39.23611111111111,0.379367339093157,38.0,47.72727272727273,1.329157471656799,
4,hybrid_cfc,45.48611111111111,0.4414259659048611,41.0,43.18181818181818,1.3634247779846191,
4,tiny_transformer,39.58333333333333,0.333405395073379,17.0,36.36363636363637,1.342153549194336,
4,cfc,41.66666666666667,0.3355170517051705,28.0,38.63636363636363,1.2993098497390747,
4,lstm,38.19444444444444,0.280691054244654,22.0,36.36363636363637,1.321375608444214,
5,shallow_convnet,32.98611111111111,0.3121926568276774,61.0,47.72727272727273,1.314542293548584,
5,riemann_tslr,46.18055555555556,0.4462432897316475,,34.090909090909086,,10.0
5,eegnet,27.08333333333333,0.269532074001191,74.0,38.63636363636363,1.341816782951355,
5,hybrid_cfc,25.0,0.1688545888950747,9.0,31.818181818181817,1.402488350868225,
5,tiny_transformer,22.22222222222222,0.1462815791174,1.0,34.090909090909086,1.40485942363739,
5,cfc,28.125,0.2640133697233344,33.0,34.090909090909086,1.3644695281982422,
5,lstm,25.0,0.2230949324199692,24.0,36.36363636363637,1.379737377166748,
6,shallow_convnet,45.48611111111111,0.4516271458835561,25.0,63.63636363636363,1.1184357404708862,
6,riemann_tslr,49.65277777777778,0.4816981312969207,,47.72727272727273,,0.1
6,eegnet,31.59722222222222,0.2718377976190476,63.0,38.63636363636363,1.2586638927459717,
6,hybrid_cfc,30.55555555555556,0.2908184462815728,65.0,43.18181818181818,1.471147894859314,
6,tiny_transformer,30.20833333333333,0.2172741959826573,16.0,38.63636363636363,1.375647783279419,
6,cfc,37.84722222222222,0.3743490067493718,45.0,38.63636363636363,1.4021726846694946,
6,lstm,28.819444444444443,0.2716268563589167,16.0,40.909090909090914,1.3688876628875732,
7,shallow_convnet,60.41666666666666,0.5796271783049503,58.0,70.45454545454545,0.8042749762535095,
7,riemann_tslr,66.31944444444444,0.6410440988140091,,70.45454545454545,,0.1
7,eegnet,35.41666666666667,0.275596941778769,23.0,50.0,1.2574788331985474,
7,hybrid_cfc,44.09722222222222,0.4156308556386973,49.0,52.27272727272727,1.210563063621521,
7,tiny_transformer,39.93055555555556,0.3563829967610626,52.0,61.36363636363637,0.9425638318061828,
7,cfc,35.06944444444444,0.3102148152607417,51.0,52.27272727272727,1.2273684740066528,
7,lstm,38.54166666666667,0.3460521087784219,16.0,47.72727272727273,1.3168139457702637,
8,shallow_convnet,71.18055555555556,0.7125416458377968,52.0,88.63636363636364,0.3108032941818237,
8,riemann_tslr,67.70833333333334,0.6825532515220996,,88.63636363636364,,0.1
8,eegnet,62.5,0.6198648656827794,80.0,75.0,0.7383039593696594,
8,hybrid_cfc,56.59722222222222,0.5587885154061625,65.0,77.27272727272727,0.6748491525650024,
8,tiny_transformer,62.84722222222222,0.6238676837381552,38.0,79.54545454545455,0.6515268087387085,
8,cfc,60.41666666666666,0.5937458941006438,59.0,75.0,0.7828766107559204,
8,lstm,48.61111111111111,0.4838286448727578,45.0,63.63636363636363,1.000699520111084,
9,shallow_convnet,72.91666666666666,0.7257440268770915,50.0,86.36363636363636,0.3766650259494781,
9,riemann_tslr,69.09722222222221,0.6896139820516677,,50.0,,10.0
9,eegnet,62.5,0.5932047679200405,53.0,68.18181818181817,0.7913509011268616,
9,hybrid_cfc,53.81944444444444,0.4984789121957264,23.0,59.09090909090909,1.0476895570755005,
