subject,model,perturbation,seed,accuracy,f1
2,shallow_convnet,band_limited_5db,4,25.0,0.1
2,shallow_convnet,channel_dropout_30pct,4,30.555555555555557,0.23007413041110142
2,riemann_tslr,band_limited_5db,0,24.65277777777778,0.11090206096592674
2,riemann_tslr,channel_dropout_30pct,0,29.166666666666668,0.27812025377509575
2,riemann_tslr,band_limited_5db,1,26.38888888888889,0.12733594089526293
2,riemann_tslr,channel_dropout_30pct,1,23.61111111111111,0.2287299153370898
2,riemann_tslr,band_limited_5db,2,25.34722222222222,0.10852272727272728
2,riemann_tslr,channel_dropout_30pct,2,27.77777777777778,0.27517316402645936
2,riemann_tslr,band_limited_5db,3,26.041666666666668,0.12086043761088114
2,riemann_tslr,channel_dropout_30pct,3,27.430555555555557,0.265304202404586
2,riemann_tslr,band_limited_5db,4,25.0,0.10112359550561797
2,riemann_tslr,channel_dropout_30pct,4,24.65277777777778,0.2424712776210834
2,eegnet,band_limited_5db,0,26.041666666666668,0.17050556676912582
2,eegnet,channel_dropout_30pct,0,26.041666666666668,0.246235689293004
2,eegnet,band_limited_5db,1,27.77777777777778,0.20025758956819392
2,eegnet,channel_dropout_30pct,1,26.38888888888889,0.2502808286788869
2,eegnet,band_limited_5db,2,27.083333333333332,0.19062082026102586
2,eegnet,channel_dropout_30pct,2,25.0,0.2272153856822049
2,eegnet,band_limited_5db,3,26.73611111111111,0.17022619195485922
2,eegnet,channel_dropout_30pct,3,26.041666666666668,0.24131961872796487
2,eegnet,band_limited_5db,4,25.694444444444443,0.17079852796237432
2,eegnet,channel_dropout_30pct,4,25.694444444444443,0.22895350625505373
2,hybrid_cfc,band_limited_5db,0,25.0,0.1
2,hybrid_cfc,channel_dropout_30pct,0,25.694444444444443,0.14724294023829626
2,hybrid_cfc,band_limited_5db,1,25.0,0.1
2,hybrid_cfc,channel_dropout_30pct,1,26.041666666666668,0.1605482267856411
2,hybrid_cfc,band_limited_5db,2,25.0,0.1
2,hybrid_cfc,channel_dropout_30pct,2,23.26388888888889,0.11960463302468696
2,hybrid_cfc,band_limited_5db,3,25.0,0.1
