subject,model,perturbation,accuracy,f1
1,cfc,band_limited_5db,44.44444444444444,0.39592637219678456
1,cfc,channel_dropout_30pct,40.69444444444444,0.39278541255242827
1,eegnet,band_limited_5db,33.95833333333333,0.2563391840447133
1,eegnet,channel_dropout_30pct,47.98611111111111,0.4635793058097154
1,hybrid_cfc,band_limited_5db,45.416666666666664,0.44331188770249536
1,hybrid_cfc,channel_dropout_30pct,46.04166666666667,0.4508890276878067
1,lstm,band_limited_5db,46.94444444444444,0.4629761412707082
1,lstm,channel_dropout_30pct,38.263888888888886,0.3421374350666912
1,riemann_tslr,band_limited_5db,25.0,0.1
1,riemann_tslr,channel_dropout_30pct,31.52777777777778,0.2363103055855765
1,shallow_convnet,band_limited_5db,58.88888888888889,0.5843738074257432
1,shallow_convnet,channel_dropout_30pct,50.208333333333336,0.4581717171007716
1,tiny_transformer,band_limited_5db,42.36111111111111,0.34674399304945364
1,tiny_transformer,channel_dropout_30pct,36.59722222222222,0.30998027685089624
2,cfc,band_limited_5db,25.0,0.1000557103064067
2,cfc,channel_dropout_30pct,27.638888888888893,0.23743432483771648
2,eegnet,band_limited_5db,25.763888888888893,0.13730542440252497
2,eegnet,channel_dropout_30pct,26.111111111111107,0.1932067210385953
2,hybrid_cfc,band_limited_5db,24.930555555555554,0.09977715877437326
2,hybrid_cfc,channel_dropout_30pct,26.458333333333332,0.18784810645593106
2,lstm,band_limited_5db,24.583333333333336,0.24469773790551788
2,lstm,channel_dropout_30pct,24.72222222222222,0.18220528215176926
2,riemann_tslr,band_limited_5db,25.48611111111111,0.11374895245008321
2,riemann_tslr,channel_dropout_30pct,26.52777777777778,0.25795976263286285
2,shallow_convnet,band_limited_5db,25.0,0.1
2,shallow_convnet,channel_dropout_30pct,27.638888888888893,0.16944387154861024
2,tiny_transformer,band_limited_5db,25.0,0.1
2,tiny_transformer,channel_dropout_30pct,29.166666666666668,0.2607748265490283
3,cfc,band_limited_5db,47.5,0.4585335215782945
3,cfc,channel_dropout_30pct,36.25,0.3274964268661357
3,eegnet,band_limited_5db,26.111111111111107,0.12336750175703666
3,eegnet,channel_dropout_30pct,38.541666666666664,0.3206863460764149
3,hybrid_cfc,band_limited_5db,40.41666666666667,0.35974485742858064
3,hybrid_cfc,channel_dropout_30pct,41.041666666666664,0.3957066022067631
3,lstm,band_limited_5db,48.95833333333333,0.4758435536054124
3,lstm,channel_dropout_30pct,33.125,0.2724520253898295
3,riemann_tslr,band_limited_5db,35.13888888888889,0.23983660372035942
3,riemann_tslr,channel_dropout_30pct,27.638888888888893,0.20402775200203133
3,shallow_convnet,band_limited_5db,63.88888888888889,0.595303873335284
3,shallow_convnet,channel_dropout_30pct,51.94444444444444,0.484022999522071
3,tiny_transformer,band_limited_5db,41.736111111111114,0.3690025702323284
3,tiny_transformer,channel_dropout_30pct,36.666666666666664,0.3166736916824461
4,cfc,band_limited_5db,30.97222222222222,0.2230483801648146
4,cfc,channel_dropout_30pct,31.736111111111114,0.29781083335175185
4,eegnet,band_limited_5db,39.375,0.37404114011353534
4,eegnet,channel_dropout_30pct,37.291666666666664,0.35537975228782553
4,hybrid_cfc,band_limited_5db,29.513888888888886,0.24495571345274655
4,hybrid_cfc,channel_dropout_30pct,28.888888888888893,0.2759689521304349
4,lstm,band_limited_5db,38.958333333333336,0.3584526134292475
4,lstm,channel_dropout_30pct,32.56944444444444,0.2731880428011433
4,riemann_tslr,band_limited_5db,25.27777777777778,0.10570309106131022
4,riemann_tslr,channel_dropout_30pct,26.458333333333332,0.21354643123964595
4,shallow_convnet,band_limited_5db,38.40277777777778,0.3674349117194328
4,shallow_convnet,channel_dropout_30pct,39.375,0.38982321138024834
4,tiny_transformer,band_limited_5db,36.875,0.32256101232863876
4,tiny_transformer,channel_dropout_30pct,31.458333333333332,0.24601468187438386
5,cfc,band_limited_5db,27.569444444444446,0.24860812452335673
5,cfc,channel_dropout_30pct,26.875,0.2133872938235371
5,eegnet,band_limited_5db,27.22222222222222,0.22977376398014027
5,eegnet,channel_dropout_30pct,26.458333333333336,0.2519641061196859
5,hybrid_cfc,band_limited_5db,24.09722222222222,0.18744028974759505
5,hybrid_cfc,channel_dropout_30pct,24.444444444444443,0.22479431954089005
5,lstm,band_limited_5db,25.34722222222222,0.1558004417695286
5,lstm,channel_dropout_30pct,25.555555555555554,0.18511109025714997
5,riemann_tslr,band_limited_5db,25.0,0.10125844240088526
5,riemann_tslr,channel_dropout_30pct,26.59722222222222,0.22041854964573435
5,shallow_convnet,band_limited_5db,26.041666666666668,0.19514813367153888
5,shallow_convnet,channel_dropout_30pct,28.958333333333332,0.25619132099593245
5,tiny_transformer,band_limited_5db,25.555555555555554,0.12883810912203938
5,tiny_transformer,channel_dropout_30pct,26.041666666666664,0.22957458295965982
6,cfc,band_limited_5db,33.95833333333333,0.2803815917737981
6,cfc,channel_dropout_30pct,25.90277777777778,0.14182393473226712
6,eegnet,band_limited_5db,33.125,0.2927790922579939
6,eegnet,channel_dropout_30pct,29.02777777777778,0.24903861699909902
6,hybrid_cfc,band_limited_5db,31.111111111111107,0.2834689665906218
6,hybrid_cfc,channel_dropout_30pct,29.305555555555554,0.26346205153905766
6,lstm,band_limited_5db,29.305555555555554,0.29167428697351233
6,lstm,channel_dropout_30pct,27.291666666666668,0.22331975875322946
6,riemann_tslr,band_limited_5db,25.0,0.1
6,riemann_tslr,channel_dropout_30pct,24.09722222222222,0.2150973145644485
6,shallow_convnet,band_limited_5db,41.94444444444444,0.3979270585279253
6,shallow_convnet,channel_dropout_30pct,33.81944444444444,0.31421511065160357
6,tiny_transformer,band_limited_5db,26.25,0.172666051995158
6,tiny_transformer,channel_dropout_30pct,26.666666666666668,0.15974505347109774
7,cfc,band_limited_5db,26.805555555555554,0.139602114924045
7,cfc,channel_dropout_30pct,31.59722222222222,0.29170362617855583
7,eegnet,band_limited_5db,25.0,0.1
