perturbation_type,level,comparison,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
band_limited_noise,0.0,cfc_vs_gru,-2.700278968849223,0.02706234183752513,-0.9000929884379825,3.0,0.0390625,-6.875,9,0.28593303501213563,0.4296875
band_limited_noise,0.0,cfc_vs_eegnet,1.8508205448816393,0.1013489349445145,0.616940179322179,4.0,0.109375,1.6512345679012346,9,0.810791479556116,0.875
band_limited_noise,0.0,cfc_vs_shallow_convnet,-1.34494774894104,0.21552320150397336,-0.44831591553612965,7.0,0.1484375,-2.584876543209877,9,1.0,0.890625
band_limited_noise,0.0,cfc_vs_riemann_tslr,1.6704964512137404,0.13336806099312354,0.5568321488995599,6.0,0.109375,2.060185185185185,9,0.9335764269518647,0.875
band_limited_noise,5.0,cfc_vs_gru,-0.8445232298541164,0.4229118045020135,-0.28150774277627183,15.0,0.42578125,-1.5586419753086433,9,1.0,0.890625
band_limited_noise,5.0,cfc_vs_eegnet,1.3908966848671525,0.2017208124071118,0.4636322275559417,10.0,0.1640625,2.932098765432096,9,1.0,0.890625
band_limited_noise,5.0,cfc_vs_shallow_convnet,-2.7263055055297003,0.02599391227383051,-0.9087685006886329,5.0,0.0390625,-7.152777777777781,9,0.28593303501213563,0.4296875
band_limited_noise,5.0,cfc_vs_riemann_tslr,3.068898233060282,0.01537358515561421,1.022966076796858,2.0,0.01171875,11.759259259259256,9,0.1844830218673705,0.1640625
band_limited_noise,10.0,cfc_vs_gru,1.215407594798123,0.25885875035781747,0.4051358642958243,12.0,0.25,2.577160493827159,9,1.0,0.890625
band_limited_noise,10.0,cfc_vs_eegnet,-0.7133465612868067,0.495910882014149,-0.23778218672174348,18.0,0.65234375,-1.5123456790123484,9,1.0,0.890625
band_limited_noise,10.0,cfc_vs_shallow_convnet,-3.2594847678965495,0.01153617644235212,-1.0864949213730137,4.0,0.02734375,-9.375,9,0.16150647019292969,0.328125
band_limited_noise,10.0,cfc_vs_riemann_tslr,3.124117402364205,0.014140409870786274,1.0413724666913153,3.0,0.01953125,14.205246913580247,9,0.18382532832022155,0.25390625
band_limited_noise,20.0,cfc_vs_gru,1.4233577453915258,0.1924396528873574,0.4744525811474283,11.0,0.203125,3.4645061728395046,9,1.0,0.890625
band_limited_noise,20.0,cfc_vs_eegnet,-2.6473695985587766,0.029375447611793844,-0.8824565313260974,5.0,0.0390625,-5.100308641975311,9,0.28593303501213563,0.4296875
band_limited_noise,20.0,cfc_vs_shallow_convnet,-6.321442523755788,0.00022747650288999205,-2.1071475049752038,1.0,0.0078125,-15.08487654320988,9,0.0036396240462398728,0.125
band_limited_noise,20.0,cfc_vs_riemann_tslr,-4.014841640034116,0.00386886022574334,-1.3382805449887158,1.0,0.0078125,-10.601851851851855,9,0.058032903386150095,0.125
channel_dropout,0.1,cfc_vs_gru,1.3074760802656034,0.22737386227237272,0.435825359115542,12.5,0.26171875,1.9521604938271606,9,0.4565189942522227,0.4921875
channel_dropout,0.1,cfc_vs_eegnet,-1.7704591296155814,0.1146058916238447,-0.590153041643354,11.0,0.203125,-2.2299382716049414,9,0.4565189942522227,0.4921875
channel_dropout,0.1,cfc_vs_shallow_convnet,-5.608525351726672,0.0005052003865045018,-1.8695084468474916,0.0,0.00390625,-9.375000000000004,9,0.0060624046380540215,0.046875
channel_dropout,0.1,cfc_vs_riemann_tslr,2.9603538759501156,0.01813640498688872,0.9867846242508503,5.0,0.0390625,9.1358024691358,9,0.14509123989510975,0.234375
channel_dropout,0.3,cfc_vs_gru,2.059882415287338,0.07337339865585694,0.6866274706923783,7.0,0.07421875,4.405864197530865,9,0.36686699327928474,0.37109375
channel_dropout,0.3,cfc_vs_eegnet,-1.7252322670087377,0.1227671631975552,-0.5750774201715722,10.0,0.1640625,-1.527777777777775,9,0.4565189942522227,0.4921875
channel_dropout,0.3,cfc_vs_shallow_convnet,-4.942198338369792,0.0011319297704599075,-1.6473994409279218,0.0,0.00390625,-5.223765432098765,9,0.012451227475058982,0.046875
channel_dropout,0.3,cfc_vs_riemann_tslr,2.785543163728259,0.023720823293601086,0.9285143867118505,4.0,0.02734375,7.199074074074074,9,0.14509123989510975,0.19140625
channel_dropout,0.5,cfc_vs_gru,1.7731899975612386,0.11412974856305567,0.5910633312867202,5.5,0.0859375,2.8317901234567917,9,0.4565189942522227,0.37109375
channel_dropout,0.5,cfc_vs_eegnet,-3.4160602652108047,0.009140956584346561,-1.1386867520855375,0.0,0.0078125,-4.344135802469135,9,0.08226860925911905,0.0703125
channel_dropout,0.5,cfc_vs_shallow_convnet,-3.547469306380608,0.007537221585416484,-1.1824897651908053,0.0,0.00390625,-3.881172839506173,9,0.07537221585416484,0.046875
channel_dropout,0.5,cfc_vs_riemann_tslr,2.931275832738189,0.018961083753490395,0.9770919419333481,3.0,0.01953125,4.128086419753085,9,0.14509123989510975,0.15625
