subject,model,perturbation_type,level,accuracy,f1
1,cfc,band_limited_noise,0.0,25.555555555555554,0.13196001940419866
2,cfc,band_limited_noise,0.0,25.0,0.1
3,cfc,band_limited_noise,0.0,25.625,0.11310634425308116
4,cfc,band_limited_noise,0.0,25.694444444444446,0.1140948361226493
5,cfc,band_limited_noise,0.0,24.930555555555554,0.11277505566162886
6,cfc,band_limited_noise,0.0,33.125,0.2735277219261988
7,cfc,band_limited_noise,0.0,25.34722222222222,0.10990340380251074
8,cfc,band_limited_noise,0.0,33.26388888888889,0.2599912119763455
9,cfc,band_limited_noise,0.0,27.84722222222222,0.16478466931858077
1,eegnet,band_limited_noise,0.0,25.0,0.1000557103064067
2,eegnet,band_limited_noise,0.0,25.0,0.1
3,eegnet,band_limited_noise,0.0,25.625,0.11274192821779443
4,eegnet,band_limited_noise,0.0,24.791666666666664,0.10256821321621631
5,eegnet,band_limited_noise,0.0,26.388888888888893,0.2199047829580824
6,eegnet,band_limited_noise,0.0,26.944444444444446,0.17783683538149053
7,eegnet,band_limited_noise,0.0,25.0,0.1
8,eegnet,band_limited_noise,0.0,27.430555555555554,0.14505771822757046
9,eegnet,band_limited_noise,0.0,25.34722222222222,0.10731555711680016
1,gru,band_limited_noise,0.0,38.26388888888889,0.3281463773314712
2,gru,band_limited_noise,0.0,24.444444444444446,0.16394564419681767
3,gru,band_limited_noise,0.0,40.0,0.36512840248123685
4,gru,band_limited_noise,0.0,31.666666666666664,0.29511502433378956
5,gru,band_limited_noise,0.0,26.52777777777778,0.23601996035606865
6,gru,band_limited_noise,0.0,33.125,0.31707956059609893
7,gru,band_limited_noise,0.0,25.0,0.10011142061281338
8,gru,band_limited_noise,0.0,40.625,0.3320085937311487
9,gru,band_limited_noise,0.0,48.61111111111111,0.43748784241239536
1,lstm,band_limited_noise,0.0,36.18055555555556,0.3058953197167412
2,lstm,band_limited_noise,0.0,24.51388888888889,0.20871540344312067
3,lstm,band_limited_noise,0.0,48.47222222222222,0.4706653695750612
4,lstm,band_limited_noise,0.0,37.5,0.29154208395567655
5,lstm,band_limited_noise,0.0,24.930555555555554,0.23552956686313942
6,lstm,band_limited_noise,0.0,25.833333333333332,0.1539136722262246
7,lstm,band_limited_noise,0.0,32.91666666666667,0.2700252124729535
8,lstm,band_limited_noise,0.0,50.27777777777778,0.5108812111678576
