subject,model,condition,shuffle_seed,accuracy,f1
1,shallow_convnet,clean,-1,70.13888888888889,0.6986789668760776
1,shallow_convnet,temporal_shuffle,0,34.02777777777778,0.24737807822308064
1,shallow_convnet,temporal_shuffle,1,34.375,0.25410552154595295
1,shallow_convnet,temporal_shuffle,2,33.68055555555556,0.24609130616308572
1,shallow_convnet,temporal_shuffle,3,33.68055555555556,0.24252059560301387
1,shallow_convnet,temporal_shuffle,4,34.72222222222222,0.2580206140307115
1,riemann_tslr,clean,-1,76.38888888888889,0.7648175406266295
1,riemann_tslr,temporal_shuffle,0,76.38888888888889,0.7648175406266295
1,riemann_tslr,temporal_shuffle,1,76.38888888888889,0.7648175406266295
1,riemann_tslr,temporal_shuffle,2,76.38888888888889,0.7648175406266295
1,riemann_tslr,temporal_shuffle,3,76.38888888888889,0.7648175406266295
1,riemann_tslr,temporal_shuffle,4,76.38888888888889,0.7648175406266295
1,eegnet,clean,-1,65.625,0.6341127202978748
1,eegnet,temporal_shuffle,0,28.819444444444443,0.17822466409032772
1,eegnet,temporal_shuffle,1,27.430555555555557,0.1548304432379872
1,eegnet,temporal_shuffle,2,31.25,0.21432424564167551
1,eegnet,temporal_shuffle,3,28.125,0.16679055086040118
1,eegnet,temporal_shuffle,4,30.208333333333332,0.19539911308203992
1,cfc,clean,-1,53.125,0.5326064277916653
1,cfc,temporal_shuffle,0,26.73611111111111,0.14313782890205265
1,cfc,temporal_shuffle,1,25.694444444444443,0.12453239360260233
1,cfc,temporal_shuffle,2,26.041666666666668,0.131199060269269
1,cfc,temporal_shuffle,3,26.041666666666668,0.13057377405203494
1,cfc,temporal_shuffle,4,26.73611111111111,0.14127909217546428
1,lstm,clean,-1,42.70833333333333,0.40535641979609677
1,lstm,temporal_shuffle,0,30.90277777777778,0.2004344617655198
1,lstm,temporal_shuffle,1,31.59722222222222,0.21608627858627857
1,lstm,temporal_shuffle,2,28.819444444444443,0.18035218192406466
1,lstm,temporal_shuffle,3,31.59722222222222,0.20383448461611584
1,lstm,temporal_shuffle,4,30.208333333333332,0.1961392637863226
2,shallow_convnet,clean,-1,46.875,0.43122594997595
2,shallow_convnet,temporal_shuffle,0,29.51388888888889,0.19802648141227278
2,shallow_convnet,temporal_shuffle,1,29.166666666666668,0.1976784218555427
2,shallow_convnet,temporal_shuffle,2,28.125,0.185319104848736
2,shallow_convnet,temporal_shuffle,3,29.166666666666668,0.19922267247750847
2,shallow_convnet,temporal_shuffle,4,30.208333333333332,0.19816816160785422
2,riemann_tslr,clean,-1,48.26388888888889,0.4424276145416539
2,riemann_tslr,temporal_shuffle,0,48.26388888888889,0.4424276145416539
2,riemann_tslr,temporal_shuffle,1,48.26388888888889,0.4424276145416539
2,riemann_tslr,temporal_shuffle,2,48.26388888888889,0.4424276145416539
2,riemann_tslr,temporal_shuffle,3,48.26388888888889,0.4424276145416539
2,riemann_tslr,temporal_shuffle,4,48.26388888888889,0.4424276145416539
2,eegnet,clean,-1,28.819444444444443,0.24949744475572214
2,eegnet,temporal_shuffle,0,26.73611111111111,0.19699919291570833
2,eegnet,temporal_shuffle,1,25.694444444444443,0.18813039077627178
2,eegnet,temporal_shuffle,2,28.47222222222222,0.22861135251741432
2,eegnet,temporal_shuffle,3,25.34722222222222,0.18211668571221273
2,eegnet,temporal_shuffle,4,28.47222222222222,0.22479587075896298
2,cfc,clean,-1,25.34722222222222,0.21777030812324927
2,cfc,temporal_shuffle,0,21.875,0.1248731548972445
2,cfc,temporal_shuffle,1,22.916666666666664,0.13189269746646795
2,cfc,temporal_shuffle,2,20.13888888888889,0.10849082146531651
2,cfc,temporal_shuffle,3,22.22222222222222,0.12059609283686759
2,cfc,temporal_shuffle,4,20.833333333333336,0.11130510694020078
2,lstm,clean,-1,27.430555555555557,0.17977085571070534
2,lstm,temporal_shuffle,0,27.77777777777778,0.1762608252674478
2,lstm,temporal_shuffle,1,27.77777777777778,0.17760957577891218
2,lstm,temporal_shuffle,2,25.34722222222222,0.15772727272727272
2,lstm,temporal_shuffle,3,27.083333333333332,0.17242424242424242
2,lstm,temporal_shuffle,4,27.430555555555557,0.17772713613142344
3,shallow_convnet,clean,-1,79.51388888888889,0.7796627203280782
3,shallow_convnet,temporal_shuffle,0,39.58333333333333,0.2927342716789881
3,shallow_convnet,temporal_shuffle,1,39.58333333333333,0.2802462491846054
3,shallow_convnet,temporal_shuffle,2,38.88888888888889,0.27606558490976296
3,shallow_convnet,temporal_shuffle,3,37.84722222222222,0.27378346656515673
3,shallow_convnet,temporal_shuffle,4,36.80555555555556,0.27086283670693556
3,riemann_tslr,clean,-1,81.94444444444444,0.8060468194226156
3,riemann_tslr,temporal_shuffle,0,81.94444444444444,0.8060468194226156
3,riemann_tslr,temporal_shuffle,1,81.94444444444444,0.8060468194226156
3,riemann_tslr,temporal_shuffle,2,81.94444444444444,0.8060468194226156
3,riemann_tslr,temporal_shuffle,3,81.94444444444444,0.8060468194226156
3,riemann_tslr,temporal_shuffle,4,81.94444444444444,0.8060468194226156
3,eegnet,clean,-1,53.125,0.46383681178371183
3,eegnet,temporal_shuffle,0,34.375,0.23987807683459855
3,eegnet,temporal_shuffle,1,34.02777777777778,0.23174648695153427
3,eegnet,temporal_shuffle,2,34.375,0.24222241825452834
3,eegnet,temporal_shuffle,3,35.06944444444444,0.24835101806710638
3,eegnet,temporal_shuffle,4,35.06944444444444,0.24267183288409705
3,cfc,clean,-1,57.291666666666664,0.560238631090292
3,cfc,temporal_shuffle,0,28.47222222222222,0.178823981006612
3,cfc,temporal_shuffle,1,28.47222222222222,0.168233563643686
3,cfc,temporal_shuffle,2,28.819444444444443,0.18603088583900562
3,cfc,temporal_shuffle,3,31.59722222222222,0.22366030203582946
3,cfc,temporal_shuffle,4,29.166666666666668,0.18317060410254318
3,lstm,clean,-1,49.30555555555556,0.47402809905756943
3,lstm,temporal_shuffle,0,24.65277777777778,0.0997191011235955
3,lstm,temporal_shuffle,1,25.34722222222222,0.10818842174774379
3,lstm,temporal_shuffle,2,25.0,0.1016949152542373
3,lstm,temporal_shuffle,3,25.34722222222222,0.10810517166449371
3,lstm,temporal_shuffle,4,25.34722222222222,0.10860184119677792
4,shallow_convnet,clean,-1,58.333333333333336,0.5805849555578395
4,shallow_convnet,temporal_shuffle,0,34.72222222222222,0.26179053463301166
4,shallow_convnet,temporal_shuffle,1,34.72222222222222,0.26823434733623047
4,shallow_convnet,temporal_shuffle,2,33.68055555555556,0.2425327570830761
4,shallow_convnet,temporal_shuffle,3,35.06944444444444,0.2735929332630982
4,shallow_convnet,temporal_shuffle,4,34.72222222222222,0.26262497964500897
4,riemann_tslr,clean,-1,59.72222222222222,0.5970194104779523
4,riemann_tslr,temporal_shuffle,0,59.72222222222222,0.5970194104779523
4,riemann_tslr,temporal_shuffle,1,59.72222222222222,0.5970194104779523
4,riemann_tslr,temporal_shuffle,2,59.72222222222222,0.5970194104779523
4,riemann_tslr,temporal_shuffle,3,59.72222222222222,0.5970194104779523
4,riemann_tslr,temporal_shuffle,4,59.72222222222222,0.5970194104779523
4,eegnet,clean,-1,46.18055555555556,0.4585079409974815
4,eegnet,temporal_shuffle,0,29.86111111111111,0.24029175998313312
4,eegnet,temporal_shuffle,1,31.59722222222222,0.2565249210633389
4,eegnet,temporal_shuffle,2,32.98611111111111,0.271518980726619
4,eegnet,temporal_shuffle,3,33.33333333333333,0.2861272070862806
4,eegnet,temporal_shuffle,4,30.90277777777778,0.25664085416588356
4,cfc,clean,-1,45.83333333333333,0.3881959361311924
4,cfc,temporal_shuffle,0,26.38888888888889,0.13160148444190695
4,cfc,temporal_shuffle,1,26.38888888888889,0.13158842991450193
4,cfc,temporal_shuffle,2,26.38888888888889,0.1372680658700835
4,cfc,temporal_shuffle,3,26.73611111111111,0.13310462042049603
4,cfc,temporal_shuffle,4,26.38888888888889,0.14124896449881744
4,lstm,clean,-1,37.5,0.2980713468921016
4,lstm,temporal_shuffle,0,29.86111111111111,0.19646697388632872
4,lstm,temporal_shuffle,1,28.125,0.1708962050219719
4,lstm,temporal_shuffle,2,28.47222222222222,0.1710912125586431
4,lstm,temporal_shuffle,3,28.819444444444443,0.18596611721611722
4,lstm,temporal_shuffle,4,27.083333333333332,0.14798514839687485
5,shallow_convnet,clean,-1,36.45833333333333,0.367302065404475
5,shallow_convnet,temporal_shuffle,0,25.0,0.19994200626240674
5,shallow_convnet,temporal_shuffle,1,27.083333333333332,0.21555062027823996
5,shallow_convnet,temporal_shuffle,2,21.180555555555554,0.1590986584337648
5,shallow_convnet,temporal_shuffle,3,22.569444444444446,0.16469195938682418
5,shallow_convnet,temporal_shuffle,4,23.958333333333336,0.17309056066303746
5,riemann_tslr,clean,-1,46.18055555555556,0.4462432897316475
5,riemann_tslr,temporal_shuffle,0,46.18055555555556,0.4462432897316475
5,riemann_tslr,temporal_shuffle,1,46.18055555555556,0.4462432897316475
5,riemann_tslr,temporal_shuffle,2,46.18055555555556,0.4462432897316475
5,riemann_tslr,temporal_shuffle,3,46.18055555555556,0.4462432897316475
5,riemann_tslr,temporal_shuffle,4,46.18055555555556,0.4462432897316475
