comparison,perturbation,t_statistic,p_value,cohen_d,wilcoxon_statistic,wilcoxon_p_value,mean_diff,n_subjects,holm_p_value,wilcoxon_holm_p_value
shallow_convnet_vs_riemann_tslr,band_limited_5db,3.362065759223579,0.009901395475680093,1.1206885857591142,3.0,0.01953125,19.35956790123457,9,0.33664744617312314,0.546875
shallow_convnet_vs_riemann_tslr,channel_dropout_30pct,4.220139201517064,0.0029152696114501295,1.4067130656743527,0.0,0.00390625,13.209876543209877,9,0.11661078445800518,0.1640625
shallow_convnet_vs_eegnet,band_limited_5db,2.625741331976729,0.03037839715176769,0.8752471100810223,9.0,0.12890625,13.256172839506174,9,0.7208168267025172,1.0
shallow_convnet_vs_eegnet,channel_dropout_30pct,3.2634645209074944,0.011467714361231306,1.0878215044795077,0.0,0.00390625,4.753086419753086,9,0.3669668595594018,0.1640625
shallow_convnet_vs_tiny_transformer,band_limited_5db,3.1187500788137816,0.014255597803948725,1.0395833584658696,0.0,0.0078125,9.49074074074074,9,0.413412336314513,0.28125
shallow_convnet_vs_tiny_transformer,channel_dropout_30pct,4.154029414177484,0.0031912635665131916,1.384676468869796,1.0,0.0078125,7.600308641975309,9,0.12126801552750129,0.28125
shallow_convnet_vs_hybrid_cfc,band_limited_5db,3.472817314270462,0.008407863481823593,1.1576057703229128,0.0,0.00390625,12.175925925925926,9,0.30268308534564936,0.1640625
shallow_convnet_vs_hybrid_cfc,channel_dropout_30pct,4.750937429140487,0.001443508879722147,1.5836458057008014,0.0,0.00390625,6.25,9,0.06062737294833017,0.1640625
shallow_convnet_vs_cfc,band_limited_5db,3.1440061623064675,0.013722009176316705,1.048002052551603,3.0,0.0390625,7.083333333333333,9,0.4116602752895011,0.8984375
shallow_convnet_vs_cfc,channel_dropout_30pct,4.185320233958281,0.00305727206144574,1.39510674174673,0.0,0.0078125,6.69753086419753,9,0.11923361039638387,0.28125
shallow_convnet_vs_lstm,band_limited_5db,2.061942078461798,0.0731390225634723,0.6873140254899076,6.0,0.0546875,7.114197530864197,9,1.0,1.0
shallow_convnet_vs_lstm,channel_dropout_30pct,4.246809861713852,0.0028113159237950504,1.4156032851502522,0.0,0.00390625,9.598765432098768,9,0.11526395287559707,0.1640625
riemann_tslr_vs_eegnet,band_limited_5db,-2.1356276942093686,0.06521896316004734,-0.7118758972394855,8.0,0.09765625,-6.103395061728394,9,1.0,1.0
riemann_tslr_vs_eegnet,channel_dropout_30pct,-3.1928835255495236,0.012747994397330188,-1.0642945071770837,3.0,0.01953125,-8.45679012345679,9,0.3951878263172358,0.546875
riemann_tslr_vs_tiny_transformer,band_limited_5db,-2.543965495533415,0.034497167260294906,-0.847988497782496,4.0,0.02734375,-9.868827160493828,9,0.724440512466193,0.68359375
riemann_tslr_vs_tiny_transformer,channel_dropout_30pct,-3.4490145969141897,0.00870742242810459,-1.1496715299484976,1.0,0.0078125,-5.609567901234566,9,0.30475978498366063,0.28125
riemann_tslr_vs_hybrid_cfc,band_limited_5db,-2.6094995667333003,0.031154517566875883,-0.8698331878578602,6.0,0.0546875,-7.183641975308642,9,0.7208168267025172,1.0
riemann_tslr_vs_hybrid_cfc,channel_dropout_30pct,-2.7276815662266682,0.02593864389693363,-0.9092271875544228,4.0,0.02734375,-6.959876543209877,9,0.657394868624089,0.68359375
riemann_tslr_vs_cfc,band_limited_5db,-3.0226916454890986,0.01649178187845714,-1.0075638810027479,1.0,0.0078125,-12.276234567901234,9,0.46176989259679996,0.28125
riemann_tslr_vs_cfc,channel_dropout_30pct,-3.005743559949456,0.01692292000457251,-1.0019145184417215,0.0,0.00390625,-6.512345679012345,9,0.46176989259679996,0.1640625
riemann_tslr_vs_lstm,band_limited_5db,-3.8699576780793565,0.004741629593803704,-1.2899858913341857,2.0,0.01171875,-12.245370370370368,9,0.17544029497073704,0.36328125
riemann_tslr_vs_lstm,channel_dropout_30pct,-3.3507732929727796,0.01006873021315591,-1.116924427536255,3.0,0.01953125,-3.611111111111108,9,0.33664744617312314,0.546875
eegnet_vs_tiny_transformer,band_limited_5db,-1.2890704399011548,0.23339546679612058,-0.42969014614337975,16.0,0.49609375,-3.7654320987654324,9,1.0,1.0
eegnet_vs_tiny_transformer,channel_dropout_30pct,1.825229191630968,0.10540465722057264,0.6084097292435735,10.0,0.1640625,2.847222222222223,9,1.0,1.0
eegnet_vs_hybrid_cfc,band_limited_5db,-0.4109802015921636,0.6918753934604212,-0.13699340035699062,22.0,1.0,-1.0802469135802477,9,1.0,1.0
eegnet_vs_hybrid_cfc,channel_dropout_30pct,1.4781086450371759,0.17763424478034132,0.49270288005734764,12.0,0.25,1.4969135802469136,9,1.0,1.0
eegnet_vs_cfc,band_limited_5db,-1.846899176649987,0.10196064069524313,-0.6156330582693424,7.0,0.07421875,-6.172839506172839,9,1.0,1.0
eegnet_vs_cfc,channel_dropout_30pct,1.8872830884184784,0.09582576416399494,0.6290943607708237,10.0,0.1640625,1.944444444444444,9,1.0,1.0
eegnet_vs_lstm,band_limited_5db,-2.089139903302329,0.0701117818034129,-0.6963799669778841,10.0,0.1640625,-6.141975308641976,9,1.0,1.0
eegnet_vs_lstm,channel_dropout_30pct,2.744203308475011,0.025284418024003424,0.9147344344315634,2.0,0.01171875,4.8456790123456805,9,0.657394868624089,0.36328125
tiny_transformer_vs_hybrid_cfc,band_limited_5db,1.364092414714599,0.20967621272441148,0.4546974708015683,11.0,0.203125,2.685185185185185,9,1.0,1.0
tiny_transformer_vs_hybrid_cfc,channel_dropout_30pct,-0.9379637127618079,0.3757127908564014,-0.3126545701966727,16.0,0.49609375,-1.3503086419753094,9,1.0,1.0
tiny_transformer_vs_cfc,band_limited_5db,-1.7326716753470626,0.12138840734598637,-0.5775572237300793,6.0,0.109375,-2.407407407407407,9,1.0,1.0
tiny_transformer_vs_cfc,channel_dropout_30pct,-1.1686130949362885,0.2762013556910375,-0.3895376966312881,16.0,0.49609375,-0.902777777777779,9,1.0,1.0
tiny_transformer_vs_lstm,band_limited_5db,-1.0740169761949856,0.31413892318924724,-0.35800565819235736,12.0,0.25,-2.376543209876543,9,1.0,1.0
tiny_transformer_vs_lstm,channel_dropout_30pct,1.7165874645967818,0.12438764753710266,0.5721958198939562,14.0,0.359375,1.9984567901234582,9,1.0,1.0
hybrid_cfc_vs_cfc,band_limited_5db,-2.5065630734071687,0.036566200444915355,-0.8355210230982508,2.0,0.01171875,-5.092592592592592,9,0.7313240088983071,0.36328125
hybrid_cfc_vs_cfc,channel_dropout_30pct,0.41395320685901627,0.6897838182175515,0.13798440186090005,21.0,0.91015625,0.4475308641975306,9,1.0,1.0
hybrid_cfc_vs_lstm,band_limited_5db,-2.6330840110308302,0.030034034445938218,-0.8776946688217031,6.0,0.05078125,-5.061728395061729,9,0.7208168267025172,1.0
hybrid_cfc_vs_lstm,channel_dropout_30pct,1.8426341547375178,0.10262993278795643,0.6142113837859546,9.0,0.12890625,3.3487654320987676,9,1.0,1.0
cfc_vs_lstm,band_limited_5db,0.013390176260339115,0.9896444120338312,0.00446339208032502,22.0,1.0,0.03086419753086389,9,1.0,1.0
cfc_vs_lstm,channel_dropout_30pct,1.8728499970890067,0.09797683351674165,0.6242833310196787,7.0,0.07421875,2.9012345679012372,9,1.0,1.0
