subject,model,perturbation_type,level,seed,accuracy,f1
1,eegnet,band_limited_noise,5.0,0,36.11111111111111,0.27837704854449496
1,eegnet,band_limited_noise,0.0,0,25.0,0.1
1,eegnet,channel_dropout,0.1,0,56.59722222222222,0.5415503875020605
1,eegnet,channel_dropout,0.3,0,49.30555555555556,0.4695639238861316
1,eegnet,channel_dropout,0.5,0,40.625,0.3905701571199873
1,eegnet,band_limited_noise,20.0,1,60.06944444444444,0.5681579382479547
1,eegnet,band_limited_noise,10.0,1,52.77777777777778,0.4901432266040201
1,eegnet,band_limited_noise,5.0,1,37.84722222222222,0.2954928154467894
1,eegnet,band_limited_noise,0.0,1,25.0,0.1
1,eegnet,channel_dropout,0.1,1,56.94444444444444,0.551131483962743
1,eegnet,channel_dropout,0.3,1,46.875,0.4581315174653827
1,eegnet,channel_dropout,0.5,1,42.36111111111111,0.40109525037060756
1,eegnet,band_limited_noise,20.0,2,60.06944444444444,0.5721992153443766
1,eegnet,band_limited_noise,10.0,2,55.90277777777778,0.5227752815929978
1,eegnet,band_limited_noise,5.0,2,38.19444444444444,0.3020950474562548
1,eegnet,band_limited_noise,0.0,2,25.0,0.1
1,eegnet,channel_dropout,0.1,2,56.59722222222222,0.5456871118012422
1,eegnet,channel_dropout,0.3,2,48.61111111111111,0.4716869506423259
1,eegnet,channel_dropout,0.5,2,39.58333333333333,0.37570185289163394
1,eegnet,band_limited_noise,20.0,3,57.291666666666664,0.5409217247578969
1,eegnet,band_limited_noise,10.0,3,51.736111111111114,0.4789001489230321
1,eegnet,band_limited_noise,5.0,3,35.41666666666667,0.2677482182755261
1,eegnet,band_limited_noise,0.0,3,25.0,0.10027855153203342
1,eegnet,channel_dropout,0.1,3,53.81944444444444,0.5102770315993512
1,eegnet,channel_dropout,0.3,3,45.13888888888889,0.4303214239066576
1,eegnet,channel_dropout,0.5,3,41.31944444444444,0.40165534509436185
1,eegnet,band_limited_noise,20.0,4,58.333333333333336,0.5533860476459587
1,eegnet,band_limited_noise,10.0,4,56.25,0.5254234029307734
1,eegnet,band_limited_noise,5.0,4,35.41666666666667,0.2679509474424011
1,eegnet,band_limited_noise,0.0,4,25.0,0.1
1,eegnet,channel_dropout,0.1,4,57.638888888888886,0.5507198815822677
1,eegnet,channel_dropout,0.3,4,45.48611111111111,0.44375529475277237
1,eegnet,channel_dropout,0.5,4,45.48611111111111,0.4169306829686564
1,cfc,band_limited_noise,20.0,0,49.30555555555556,0.4810124020286716
1,cfc,band_limited_noise,10.0,0,46.875,0.45344809057762425
1,cfc,band_limited_noise,5.0,0,37.84722222222222,0.320664816880315
1,cfc,band_limited_noise,0.0,0,26.041666666666668,0.1406926406926407
1,cfc,channel_dropout,0.1,0,49.65277777777778,0.4959410948062742
1,cfc,channel_dropout,0.3,0,43.40277777777778,0.431559954914002
1,cfc,channel_dropout,0.5,0,37.5,0.3578530161442325
1,cfc,band_limited_noise,20.0,1,48.95833333333333,0.4791421568627451
1,cfc,band_limited_noise,10.0,1,48.26388888888889,0.46923486040683104
1,cfc,band_limited_noise,5.0,1,41.31944444444444,0.34669482072462954
1,cfc,band_limited_noise,0.0,1,25.34722222222222,0.1223580605055947
1,cfc,channel_dropout,0.1,1,51.041666666666664,0.5102025165179261
1,cfc,channel_dropout,0.3,1,43.05555555555556,0.4240246674542283
1,cfc,channel_dropout,0.5,1,33.33333333333333,0.3088865494183275
1,cfc,band_limited_noise,20.0,2,45.48611111111111,0.4428499651983291
1,cfc,band_limited_noise,10.0,2,50.34722222222222,0.48661055543868215
1,cfc,band_limited_noise,5.0,2,39.58333333333333,0.33818352951849584
1,cfc,band_limited_noise,0.0,2,26.38888888888889,0.145302296573483
1,cfc,channel_dropout,0.1,2,49.65277777777778,0.4991114820161193
1,cfc,channel_dropout,0.3,2,41.66666666666667,0.414479844695672
1,cfc,channel_dropout,0.5,2,34.72222222222222,0.32373515313817713
1,cfc,band_limited_noise,20.0,3,47.22222222222222,0.46424579143722866
