class_name,window,mean_tau,std_tau,mean_time_seconds,std_time_seconds
feet,peak,1.64111758786955,0.33865829377559487,3.039111111111111,1.1139583076179784
feet,early,1.4927243752010473,0.2648255902249007,2.25,0.0
feet,mid,1.501596049332651,0.25651796552146894,3.25,0.0
feet,late,1.5051726418601143,0.2836750825124923,5.0,0.0
left_hand,peak,1.6131083841125171,0.3176754053991907,2.3191111111111113,0.2521727802739842
left_hand,early,1.4923928159181568,0.24261546234732992,2.25,0.0
left_hand,mid,1.4534129800232296,0.24750428790864532,3.25,0.0
left_hand,late,1.436880361136831,0.2505381146115017,5.0,0.0
right_hand,peak,1.5979793119577714,0.3019267170268922,2.897777777777778,1.1613356295423145
right_hand,early,1.4865697425734103,0.2545311998699588,2.25,0.0
right_hand,mid,1.3978204789804556,0.23298713167135468,3.25,0.0
right_hand,late,1.3872281895482246,0.23157602804540942,5.0,0.0
tongue,peak,1.6598552992498437,0.3521032559525353,2.807111111111111,0.8546385850820867
tongue,early,1.4919882017346004,0.2555517439644318,2.25,0.0
tongue,mid,1.5218376144525783,0.2846170487005717,3.25,0.0
tongue,late,1.5159659630972662,0.3133923091425364,5.0,0.0
