subject,class_name,tau_mean,mu_power,beta_power,correct
1,feet,1.2378411342700322,0.5356324760036336,0.1414609215118819,0.19444444444444445
1,left_hand,1.0931632949246302,0.27944358479645515,0.12982033896777365,0.05555555555555555
1,right_hand,1.0705053011576335,0.2745021563023329,0.12989289623995623,0.9722222222222222
1,tongue,1.2917899754312303,0.568691317199005,0.1447550126661857,0.041666666666666664
2,feet,1.0034545544121,0.5741535232712826,0.42197793121967053,0.0
2,left_hand,1.0034974134630628,0.6267385381377406,0.5712554912186332,0.013888888888888888
2,right_hand,1.0034327391121123,0.5854303859588172,0.393969022254977,1.0
2,tongue,1.0034149173233244,0.510083131906059,0.3857566294156843,0.0
3,feet,1.6031838705142338,1.0976258971624904,0.19207482722898325,0.0
3,left_hand,1.6010170082251232,0.5956773095660739,0.17287690699514416,0.0
3,right_hand,1.5776892834239535,0.664320824874772,0.1817861644861599,0.6388888888888888
3,tongue,1.5979408688015408,1.429555680602789,0.20818227777878442,0.9166666666666666
4,feet,1.682188308901257,0.4292084049019549,0.14503689989861515,0.013888888888888888
4,left_hand,1.7406632122066286,0.26011595005790394,0.11353558664106661,0.4444444444444444
4,right_hand,1.7322165485885408,0.2862491258937452,0.11535022138721412,0.1527777777777778
4,tongue,1.683533211549123,0.40971912029716706,0.15475320112374094,0.7222222222222222
5,feet,1.0571729342142742,0.16590953897684813,0.12587018435200056,0.0
5,left_hand,1.0572780105802748,0.16090151491678423,0.13278159287033808,0.7638888888888888
5,right_hand,1.057478129863739,0.16321044725676379,0.1298408729231192,0.16666666666666666
5,tongue,1.0570976949400372,0.1692426528574692,0.1345642857874433,0.041666666666666664
6,feet,1.1742044455475278,1.244339747561349,0.1790993002553781,0.0
6,left_hand,1.176747707857026,0.9514807454413838,0.14862387265182203,0.8333333333333334
6,right_hand,1.1766121702061758,1.0393335761295424,0.15262643630719847,0.1527777777777778
6,tongue,1.1756436195638444,1.1177532312770684,0.162405027800964,0.0
7,feet,1.2974575757980347,0.4002494815116127,0.11378487127108707,0.09722222222222222
7,left_hand,1.283531591296196,0.3805905736775862,0.10340063584347566,0.3888888888888889
7,right_hand,1.285973803864585,0.3679511638151275,0.1061553416463236,0.6527777777777778
7,tongue,1.3492175307538774,0.47842851281166077,0.12938917604171568,0.06944444444444445
8,feet,1.8150868829753664,1.1908431210451655,0.2983159905092584,0.3472222222222222
8,left_hand,1.8084266268544726,0.9921975462800927,0.2945657486302985,0.8055555555555556
8,right_hand,1.8136715706851747,1.2463069773382611,0.30418388752473724,0.1527777777777778
8,tongue,1.8245476699537702,1.8512757428818278,0.31312074284586644,0.0
9,feet,1.4841078006558948,3.57385363512569,0.1944772330009275,0.5138888888888888
9,left_hand,1.412374766336547,1.3227392505440447,0.1069506099447608,0.6527777777777778
9,right_hand,1.4784376041756735,3.259189406202899,0.17137757807763088,0.4583333333333333
9,tongue,1.492198548383183,5.089127312103908,0.2429533133076297,0.4722222222222222
